Player,Betting Odds
Novak Djokovic,-120
Stefanos Tsitsipas,1400
Karen Khachanov,10000
Tommy Paul,30000
Sebastian Korda,3300
Andrey Rublev,6600
Jiri Lehecka,50000
Ben Shelton,40000
Holger Rune,2500
Jannik Sinner,2000
Felix Auger-Aliassime,2000
Alex de Minaur,15000
Roberto Bautista-Agut,15000
Hubert Hurkacz,8000
JJ Wolf,40000
Yoshihito Nishioka,35000
Daniil Medvedev,600
Frances Tiafoe,6600
Cameron Norrie,5000
Andy Murray,20000
Denis Shapovalov,10000
Grigor Dimitrov,20000
Jenson Brooksby,20000
Alexei Popyrin,35000
Mackenzie McDonald,40000
Ugo Humbert,30000
Benjamin Bonzi,35000
Tallon Griekspoor,35000
Daniel Evans,30000
Marton Fucsovics,30000
Francisco Cerundolo,50000
Rafael Nadal,1400
Taylor Fritz,2000
Casper Ruud,3300
Alexander Zverev,5000
Thanasi Kokkinakis,10000
Pablo Carreno-Busta,20000
Lorenzo Sonego,30000
Christopher Eubanks,40000
Nicolas Jarry,40000
Diego Schwartzman,30000
John Isner,30000
Alejandro Davidovich Foki,30000
Botic Van de Zandschulp,30000
Jason Kubler,30000
John Millman,40000
Lloyd Harris,40000
Maxime Cressy,35000
Adrian Mannarino,40000
Corentin Moutet,40000
Emil Ruusuvuori,40000
Enzo Couacaud,40000
Richard Gasquet,40000
Yosuke Watanuki,40000
Alex Molcan,50000
Constant Lestienne,50000
Dalibor Svrcina,50000
Taro Daniel,50000
Fabio Fognini,40000
Albert Ramos-Vinolas,50000
Aleksandar Vukic,50000
Brandon Holt,50000
Denis Kudla,50000
Hugo Dellien,50000
Jeremy Chardy,50000
Joao Sousa,50000
Juncheng Shang,50000
Laslo Djere,50000
Laurent Lokoli,50000
Max Purcell,50000
Michael Mmoh,50000
Rinky Hijikata,50000
Roman Safiullin,50000
Sebastian Baez,50000
Tomas Martin Etcheverry,50000
Zizou Bergs,50000
Nick Kyrgios,1600
Matteo Berrettini,4000
Jack Draper,8000
Dominic Thiem,15000
Borna Coric,15000
Soon Woo Kwon,15000
David Goffin,20000
Stanislas Wawrinka,20000
Alexander Bublik,25000
Brandon Nakashima,25000
Lorenzo Musetti,25000
Aslan Karatsev,30000
Miomir Kecmanovic,30000
Cristian Garin,40000
Ilya Ivashka,40000
Marc-Andrea Huesler,40000
Marcos Giron,40000
Mikael Ymer,40000
Nikoloz Basilashvili,40000
Oscar Otte,40000
Quentin Halys,40000
Yibing Wu,40000
Arthur Rinderknech,50000
Bernabe Zapata Miralles,50000
Christopher O'Connell,50000
Chun-Hsin Tseng,50000
Daniel Altmaier,50000
Daniel Elahi Galan,50000
Dusan Lajovic,50000
Ernesto Escobedo,50000
Facundo Bagnis,50000
Federico Coria,50000
Filip Krajinovic,50000
Gregoire Barrere,50000
Guido Pella,50000
Jan-Lennard Struff,50000
Jaume Munar,50000
Jordan Thompson,50000
Juan Pablo Varillas,50000
Kyle Edmund,50000
Luca Van Assche,50000
Mattia Bellucci,50000
Nuno Borges,50000
Oleksii Krutykh,50000
Pavel Kotov,50000
Pedro Cachin,50000
Pedro Martinez,50000
Roberto Carballes Baena,50000
Thiago Monteiro,50000
Tomas Machac,50000
Vasek Pospisil,50000
Yannick Hanfmann,50000
Yu Hsiou Hsu,50000
Zhizhen Zhang,50000
Carlos Alcaraz,
Gael Monfils,
Marin Cilic,
Reilly Opelka,
Roger Federer,
