Player,Betting Odds
Novak Djokovic,250
Casper Ruud,1600
Carlos Alcaraz,165
Alexander Zverev,2500
Holger Rune,750
Stefanos Tsitsipas,1600
Tomas Martin Etcheverry,30000
Karen Khachanov,15000
Nicolas Jarry,15000
Francisco Cerundolo,8000
Grigor Dimitrov,25000
Lorenzo Musetti,12500
Lorenzo Sonego,30000
Sebastian Ofner,50000
Juan Pablo Varillas,50000
Yoshihito Nishioka,50000
Andrey Rublev,4000
Borna Coric,15000
Frances Tiafoe,12500
Taylor Fritz,8000
Thiago Seyboth Wild,50000
Cameron Norrie,12500
Alejandro Davidovich Fokina,15000
Hubert Hurkacz,15000
Daniel Altmaier,40000
Denis Shapovalov,25000
Diego Schwartzman,25000
Fabio Fognini,40000
Thanasi Kokkinakis,30000
Marcos Giron,50000
Zhizhen Zhang,50000
Genaro Alberto Olivieri,50000
Jannik Sinner,1100
Aslan Karatsev,40000
Roberto Bautista-Agut,25000
Ugo Humbert,25000
Jiri Lehecka,30000
Sebastian Korda,20000
Alex de Minaur,25000
Pedro Cachin,30000
Alexander Shevchenko,35000
Gael Monfils,40000
Stanislas Wawrinka,25000
Matteo Arnaldi,30000
Tommy Paul,30000
Yannick Hanfmann,30000
Luca Van Assche,50000
Marton Fucsovics,35000
Tallon Griekspoor,35000
Corentin Moutet,50000
Lucas Pouille,50000
Nuno Borges,50000
Alex Molcan,40000
Emil Ruusuvuori,40000
Andrea Vavassori,50000
Arthur Rinderknech,50000
Guido Pella,50000
Jason Kubler,50000
Roberto Carballes Baena,50000
Taro Daniel,50000
Thiago Agustin Tirante,50000
Giulio Zeppieri,50000
Max Purcell,50000
Radu Albot,50000
Daniil Medvedev,700
Dominic Thiem,8000
Felix Auger-Aliassime,12500
Jan-Lennard Struff,15000
Jack Draper,20000
Miomir Kecmanovic,25000
Laslo Djere,25000
Bernabe Zapata Miralles,30000
Botic Van de Zandschulp,30000
Brandon Nakashima,30000
Dusan Lajovic,30000
John Isner,30000
Alexei Popyrin,35000
Ben Shelton,35000
Gregoire Barrere,35000
Marco Cecchinato,35000
Richard Gasquet,35000
Sebastian Baez,35000
Arthur Fils,40000
Christopher O'Connell,40000
Daniel Elahi Galan,40000
Daniel Evans,40000
David Goffin,40000
Filip Krajinovic,40000
Jaume Munar,40000
JJ Wolf,40000
Mikael Ymer,40000
Thiago Monteiro,40000
Yibing Wu,40000
Adrian Mannarino,50000
Albert Ramos-Vinolas,50000
Aleksandar Kovacevic,50000
Alexander Bublik,50000
Alexandre Muller,50000
Arthur Cazaux,50000
Benoit Paire,50000
Christopher Eubanks,50000
Constant Lestienne,50000
Dominic Stephan Stricker,50000
Elias Ymer,50000
Emilio Nava,50000
Facundo Diaz Acosta,50000
Federico Coria,50000
Flavio Cobolli,50000
Giovanni Mpetshi Perricard,50000
Hamad Medjedovic,50000
Hugo Dellien,50000
Hugo Gaston,50000
Hugo Grenier,50000
Ilya Ivashka,50000
Jiri Vesely,50000
Jordan Thompson,50000
Juncheng Shang,50000
Jurij Rodionov,50000
Lloyd Harris,50000
Mackenzie McDonald,50000
Marc-Andrea Huesler,50000
Maxime Cressy,50000
Michael Mmoh,50000
Oscar Otte,50000
Patrick Kypson,50000
Pedro Martinez,50000
Timofey Skatov,50000
