Player,Betting Odds,winning_probability,normalized_winning_probability
Novak Djokovic,250,28.57142857142857,0.18494248343596442
Casper Ruud,1600,5.88235294117647,0.03807639364858091
Carlos Alcaraz,165,37.735849056603776,0.24426365736825492
Alexander Zverev,2500,3.8461538461538463,0.024896103539456753
Holger Rune,750,11.76470588235294,0.07615278729716182
Stefanos Tsitsipas,1600,5.88235294117647,0.03807639364858091
Tomas Martin Etcheverry,30000,0.33222591362126247,0.002150493993441447
Karen Khachanov,15000,0.6622516556291391,0.004286746304807123
Nicolas Jarry,15000,0.6622516556291391,0.004286746304807123
Francisco Cerundolo,8000,1.2345679012345678,0.00799134187686266
Grigor Dimitrov,25000,0.398406374501992,0.0025788792510991056
Lorenzo Musetti,12500,0.7936507936507936,0.005137291206554567
Lorenzo Sonego,30000,0.33222591362126247,0.002150493993441447
Sebastian Ofner,50000,0.19960079840319359,0.0012920133573370767
Juan Pablo Varillas,50000,0.19960079840319359,0.0012920133573370767
Yoshihito Nishioka,50000,0.19960079840319359,0.0012920133573370767
Andrey Rublev,4000,2.4390243902439024,0.015787772976240864
Borna Coric,15000,0.6622516556291391,0.004286746304807123
Frances Tiafoe,12500,0.7936507936507936,0.005137291206554567
Taylor Fritz,8000,1.2345679012345678,0.00799134187686266
Thiago Seyboth Wild,50000,0.19960079840319359,0.0012920133573370767
Cameron Norrie,12500,0.7936507936507936,0.005137291206554567
Alejandro Davidovich Fokina,15000,0.6622516556291391,0.004286746304807123
Hubert Hurkacz,15000,0.6622516556291391,0.004286746304807123
Daniel Altmaier,40000,0.24937655860349126,0.0016142112020595398
Denis Shapovalov,25000,0.398406374501992,0.0025788792510991056
Diego Schwartzman,25000,0.398406374501992,0.0025788792510991056
Fabio Fognini,40000,0.24937655860349126,0.0016142112020595398
Thanasi Kokkinakis,30000,0.33222591362126247,0.002150493993441447
Marcos Giron,50000,0.19960079840319359,0.0012920133573370767
Zhizhen Zhang,50000,0.19960079840319359,0.0012920133573370767
Genaro Alberto Olivieri,50000,0.19960079840319359,0.0012920133573370767
Jannik Sinner,1100,8.333333333333332,0.05394155766882295
Aslan Karatsev,40000,0.24937655860349126,0.0016142112020595398
Roberto Bautista-Agut,25000,0.398406374501992,0.0025788792510991056
Ugo Humbert,25000,0.398406374501992,0.0025788792510991056
Jiri Lehecka,30000,0.33222591362126247,0.002150493993441447
Sebastian Korda,20000,0.4975124378109453,0.003220391502616296
Alex de Minaur,25000,0.398406374501992,0.0025788792510991056
Pedro Cachin,30000,0.33222591362126247,0.002150493993441447
Alexander Shevchenko,35000,0.2849002849002849,0.001844155817737537
Gael Monfils,40000,0.24937655860349126,0.0016142112020595398
Stanislas Wawrinka,25000,0.398406374501992,0.0025788792510991056
Matteo Arnaldi,30000,0.33222591362126247,0.002150493993441447
Tommy Paul,30000,0.33222591362126247,0.002150493993441447
Yannick Hanfmann,30000,0.33222591362126247,0.002150493993441447
Luca Van Assche,50000,0.19960079840319359,0.0012920133573370767
Marton Fucsovics,35000,0.2849002849002849,0.001844155817737537
Tallon Griekspoor,35000,0.2849002849002849,0.001844155817737537
Corentin Moutet,50000,0.19960079840319359,0.0012920133573370767
Lucas Pouille,50000,0.19960079840319359,0.0012920133573370767
Nuno Borges,50000,0.19960079840319359,0.0012920133573370767
Alex Molcan,40000,0.24937655860349126,0.0016142112020595398
Emil Ruusuvuori,40000,0.24937655860349126,0.0016142112020595398
Andrea Vavassori,50000,0.19960079840319359,0.0012920133573370767
Arthur Rinderknech,50000,0.19960079840319359,0.0012920133573370767
Guido Pella,50000,0.19960079840319359,0.0012920133573370767
Jason Kubler,50000,0.19960079840319359,0.0012920133573370767
Roberto Carballes Baena,50000,0.19960079840319359,0.0012920133573370767
Taro Daniel,50000,0.19960079840319359,0.0012920133573370767
Thiago Agustin Tirante,50000,0.19960079840319359,0.0012920133573370767
Giulio Zeppieri,50000,0.19960079840319359,0.0012920133573370767
Max Purcell,50000,0.19960079840319359,0.0012920133573370767
Radu Albot,50000,0.19960079840319359,0.0012920133573370767
Daniil Medvedev,700,12.5,0.08091233650323444
Dominic Thiem,8000,1.2345679012345678,0.00799134187686266
Felix Auger-Aliassime,12500,0.7936507936507936,0.005137291206554567
Jan-Lennard Struff,15000,0.6622516556291391,0.004286746304807123
Jack Draper,20000,0.4975124378109453,0.003220391502616296
Miomir Kecmanovic,25000,0.398406374501992,0.0025788792510991056
Laslo Djere,25000,0.398406374501992,0.0025788792510991056
Bernabe Zapata Miralles,30000,0.33222591362126247,0.002150493993441447
Botic Van de Zandschulp,30000,0.33222591362126247,0.002150493993441447
Brandon Nakashima,30000,0.33222591362126247,0.002150493993441447
Dusan Lajovic,30000,0.33222591362126247,0.002150493993441447
John Isner,30000,0.33222591362126247,0.002150493993441447
Alexei Popyrin,35000,0.2849002849002849,0.001844155817737537
