Player,Betting Odds
Carlos Alcaraz,350
Novak Djokovic,-175
Daniil Medvedev,2000
Jannik Sinner,1800
Holger Rune,4000
Christopher Eubanks,30000
Andrey Rublev,6600
Roman Safiullin,40000
Stefanos Tsitsipas,5000
Matteo Berrettini,8000
Alexander Bublik,5000
Grigor Dimitrov,8000
Denis Shapovalov,20000
Hubert Hurkacz,6600
Frances Tiafoe,5000
Jiri Lehecka,40000
Daniel Elahi Galan,50000
Sebastian Korda,3300
Alexander Zverev,4000
Andy Murray,4000
Taylor Fritz,5000
Alex de Minaur,6600
Felix Auger-Aliassime,8000
Casper Ruud,8000
Cameron Norrie,8000
Roberto Bautista-Agut,15000
Lorenzo Musetti,20000
Milos Raonic,20000
Tallon Griekspoor,20000
Tommy Paul,20000
Daniel Evans,25000
Ben Shelton,25000
Borna Coric,25000
Dominic Thiem,25000
Francisco Cerundolo,25000
Nicolas Jarry,25000
John Isner,30000
Aslan Karatsev,30000
Adrian Mannarino,30000
Alejandro Davidovich Fokina,30000
Arthur Fils,30000
Gregoire Barrere,30000
Jordan Thompson,30000
Mackenzie McDonald,30000
Marton Fucsovics,30000
Maxime Cressy,30000
Miomir Kecmanovic,30000
Dominic Stephan Stricker,35000
Ugo Humbert,35000
Aleksandar Vukic,40000
Alexander Shevchenko,40000
Alexei Popyrin,40000
Benjamin Bonzi,40000
Borna Gojo,40000
Botic Van de Zandschulp,40000
Brandon Nakashima,40000
Christopher O'Connell,40000
David Goffin,40000
Emil Ruusuvuori,40000
Hamad Medjedovic,40000
Jason Kubler,40000
JJ Wolf,40000
Lloyd Harris,40000
Lorenzo Sonego,40000
Luca Van Assche,40000
Marc-Andrea Huesler,40000
Marcos Giron,40000
Matteo Arnaldi,40000
Oscar Otte,40000
Quentin Halys,40000
Richard Gasquet,40000
Stanislas Wawrinka,40000
Yoshihito Nishioka,40000
Diego Schwartzman,50000
Albert Ramos-Vinolas,50000
Alex Molcan,50000
Alexandre Muller,50000
Arthur Fery,50000
Arthur Rinderknech,50000
Bernabe Zapata Miralles,50000
Constant Lestienne,50000
Corentin Moutet,50000
Daniel Altmaier,50000
Dennis Novak,50000
Dominik Koepfer,50000
Dusan Lajovic,50000
Enzo Couacaud,50000
Federico Coria,50000
George Loffhagen,50000
Gijs Brouwer,50000
Guido Pella,50000
Harold Mayot,50000
Hugo Dellien,50000
Ilya Ivashka,50000
Jan Choinski,50000
Jaume Munar,50000
Jeremy Chardy,50000
Jiri Vesely,50000
Juan Manuel Cerundolo,50000
Juan Pablo Varillas,50000
Kimmer Coppejans,50000
Laslo Djere,50000
Laurent Lokoli,50000
Liam Broady,50000
Marco Cecchinato,50000
Max Purcell,50000
Maximilian Marterer,50000
Mikael Ymer,50000
Nuno Borges,50000
Pedro Cachin,50000
Radu Albot,50000
Roberto Carballes Baena,50000
Ryan Peniston,50000
Sebastian Baez,50000
Sebastian Ofner,50000
Shintaro Mochizuki,50000
Sho Shimabukuro,50000
Taro Daniel,50000
Thiago Monteiro,50000
Tomas Barrios Vera,50000
Tomas Machac,50000
Tomas Martin Etcheverry,50000
Yannick Hanfmann,50000
Yibing Wu,50000
Yosuke Watanuki,50000
Zhizhen Zhang,50000
Rafael Nadal,
Nick Kyrgios,
Marin Cilic,
Jack Draper,
Karen Khachanov,
Gael Monfils,
Roger Federer,
Filip Krajinovic,
