Player,Betting Odds
Jannik Sinner,600
Daniil Medvedev,900
Novak Djokovic,110
Alexander Zverev,2500
Carlos Alcaraz,350
Andrey Rublev,4000
Hubert Hurkacz,8000
Taylor Fritz,8000
Alex de Minaur,3300
Stefanos Tsitsipas,4000
Cameron Norrie,20000
Karen Khachanov,12500
Miomir Kecmanovic,30000
Arthur Cazaux,50000
Nuno Borges,50000
Adrian Mannarino,35000
Grigor Dimitrov,3300
Ben Shelton,4000
Casper Ruud,5000
Sebastian Korda,8000
Felix Auger-Aliassime,12500
Tommy Paul,15000
Ugo Humbert,30000
Tallon Griekspoor,40000
Fabian Marozsan,30000
Alex Michelsen,40000
Tomas Machac,50000
Tomas Martin Etcheverry,50000
Juncheng Shang,35000
Flavio Cobolli,50000
Sebastian Baez,50000
Luca Van Assche,50000
Holger Rune,3300
Jack Draper,6600
Frances Tiafoe,10000
Jiri Lehecka,12500
Arthur Fils,12500
Gael Monfils,20000
Lorenzo Sonego,35000
Lorenzo Musetti,25000
Alejandro Davidovich Fokina,25000
Christopher O'Connell,50000
Emil Ruusuvuori,30000
Francisco Cerundolo,30000
Christopher Eubanks,35000
Jan-Lennard Struff,35000
Thanasi Kokkinakis,35000
Quentin Halys,50000
Zhizhen Zhang,50000
Alexei Popyrin,40000
Jordan Thompson,40000
Lukas Klein,40000
Matteo Arnaldi,40000
Pavel Kotov,40000
Aleksandar Kovacevic,50000
Jakub Mensik,50000
Sumit Nagal,50000
Daniel Elahi Galan,50000
Giulio Zeppieri,50000
Hugo Gaston,50000
Hugo Grenier,50000
Jaume Munar,50000
Jesper De Jong,50000
Max Purcell,50000
Matteo Berrettini,15000
Andy Murray,15000
Roman Safiullin,15000
Denis Shapovalov,20000
Dominic Thiem,20000
Marin Cilic,20000
Roberto Bautista-Agut,20000
Borna Coric,25000
Alexander Bublik,30000
David Goffin,30000
Lloyd Harris,30000
Milos Raonic,30000
Nicolas Jarry,30000
Stanislas Wawrinka,30000
Botic Van de Zandschulp,35000
Daniel Evans,35000
Rinky Hijikata,35000
Alexander Shevchenko,40000
Marton Fucsovics,40000
Richard Gasquet,40000
Sebastian Ofner,40000
Yoshihito Nishioka,40000
Yosuke Watanuki,40000
Adam Walton,50000
Albert Ramos-Vinolas,50000
Alejandro Tabilo,50000
Aleksandar Vukic,50000
Alexandre Muller,50000
Arthur Rinderknech,50000
Benjamin Bonzi,50000
Bernabe Zapata Miralles,50000
Constant Lestienne,50000
Cristian Garin,50000
Dane Sweeny,50000
Daniel Altmaier,50000
Dino Prizmic,50000
Dominik Koepfer,50000
Dusan Lajovic,50000
Facundo Diaz Acosta,50000
Federico Coria,50000
Gregoire Barrere,50000
James Duckworth,50000
James McCabe,50000
Jason Kubler,50000
Jiri Vesely,50000
JJ Wolf,50000
Juan Pablo Varillas,50000
Laslo Djere,50000
Mackenzie McDonald,50000
Marc Polmans,50000
Marcos Giron,50000
Mate Valkusz,50000
Maximilian Marterer,50000
Omar Jasika,50000
Patrick Kypson,50000
Pedro Cachin,50000
Roberto Carballes Baena,50000
Shintaro Mochizuki,50000
Soon Woo Kwon,50000
Taro Daniel,50000
Terence Atmane,50000
Thiago Seyboth Wild,50000
Vit Kopriva,50000
Yannick Hanfmann,50000
