Player,Betting Odds,Winning Probability,Normalized Winning Probability
Jannik Sinner,600,14.285714285714285,0.09282411138367297
Daniil Medvedev,900,10.0,0.06497687796857109
Novak Djokovic,110,47.61904761904761,0.3094137046122432
Alexander Zverev,2500,3.8461538461538463,0.02499110691098888
Carlos Alcaraz,350,22.22222222222222,0.14439306215238018
Andrey Rublev,4000,2.4390243902439024,0.015848019016724654
Hubert Hurkacz,8000,1.2345679012345678,0.008021836786243344
Taylor Fritz,8000,1.2345679012345678,0.008021836786243344
Alex de Minaur,3300,2.941176470588235,0.019110846461344436
Stefanos Tsitsipas,4000,2.4390243902439024,0.015848019016724654
Cameron Norrie,20000,0.4975124378109453,0.00323268049594881
Karen Khachanov,12500,0.7936507936507936,0.005156895076870721
Miomir Kecmanovic,30000,0.33222591362126247,0.002158700264736581
Arthur Cazaux,50000,0.19960079840319359,0.0012969436720273668
Nuno Borges,50000,0.19960079840319359,0.0012969436720273668
Adrian Mannarino,35000,0.2849002849002849,0.0018511931045176947
Grigor Dimitrov,3300,2.941176470588235,0.019110846461344436
Ben Shelton,4000,2.4390243902439024,0.015848019016724654
Casper Ruud,5000,1.9607843137254901,0.012740564307562957
Sebastian Korda,8000,1.2345679012345678,0.008021836786243344
Felix Auger-Aliassime,12500,0.7936507936507936,0.005156895076870721
Tommy Paul,15000,0.6622516556291391,0.004303104501229874
Ugo Humbert,30000,0.33222591362126247,0.002158700264736581
Tallon Griekspoor,40000,0.24937655860349126,0.0016203710216601266
Fabian Marozsan,30000,0.33222591362126247,0.002158700264736581
Alex Michelsen,40000,0.24937655860349126,0.0016203710216601266
Tomas Machac,50000,0.19960079840319359,0.0012969436720273668
Tomas Martin Etcheverry,50000,0.19960079840319359,0.0012969436720273668
Juncheng Shang,35000,0.2849002849002849,0.0018511931045176947
Flavio Cobolli,50000,0.19960079840319359,0.0012969436720273668
Sebastian Baez,50000,0.19960079840319359,0.0012969436720273668
Luca Van Assche,50000,0.19960079840319359,0.0012969436720273668
Holger Rune,3300,2.941176470588235,0.019110846461344436
Jack Draper,6600,1.4925373134328357,0.00969804148784643
Frances Tiafoe,10000,0.9900990099009901,0.006433354254313969
Jiri Lehecka,12500,0.7936507936507936,0.005156895076870721
Arthur Fils,12500,0.7936507936507936,0.005156895076870721
Gael Monfils,20000,0.4975124378109453,0.00323268049594881
Lorenzo Sonego,35000,0.2849002849002849,0.0018511931045176947
Lorenzo Musetti,25000,0.398406374501992,0.0025887202377916766
Alejandro Davidovich Fokina,25000,0.398406374501992,0.0025887202377916766
Christopher O'Connell,50000,0.19960079840319359,0.0012969436720273668
Emil Ruusuvuori,30000,0.33222591362126247,0.002158700264736581
Francisco Cerundolo,30000,0.33222591362126247,0.002158700264736581
Christopher Eubanks,35000,0.2849002849002849,0.0018511931045176947
Jan-Lennard Struff,35000,0.2849002849002849,0.0018511931045176947
Thanasi Kokkinakis,35000,0.2849002849002849,0.0018511931045176947
Quentin Halys,50000,0.19960079840319359,0.0012969436720273668
Zhizhen Zhang,50000,0.19960079840319359,0.0012969436720273668
Alexei Popyrin,40000,0.24937655860349126,0.0016203710216601266
Jordan Thompson,40000,0.24937655860349126,0.0016203710216601266
Lukas Klein,40000,0.24937655860349126,0.0016203710216601266
Matteo Arnaldi,40000,0.24937655860349126,0.0016203710216601266
Pavel Kotov,40000,0.24937655860349126,0.0016203710216601266
Aleksandar Kovacevic,50000,0.19960079840319359,0.0012969436720273668
Jakub Mensik,50000,0.19960079840319359,0.0012969436720273668
Sumit Nagal,50000,0.19960079840319359,0.0012969436720273668
Daniel Elahi Galan,50000,0.19960079840319359,0.0012969436720273668
Giulio Zeppieri,50000,0.19960079840319359,0.0012969436720273668
Hugo Gaston,50000,0.19960079840319359,0.0012969436720273668
Hugo Grenier,50000,0.19960079840319359,0.0012969436720273668
Jaume Munar,50000,0.19960079840319359,0.0012969436720273668
Jesper De Jong,50000,0.19960079840319359,0.0012969436720273668
Max Purcell,50000,0.19960079840319359,0.0012969436720273668
Matteo Berrettini,15000,0.6622516556291391,0.004303104501229874
Andy Murray,15000,0.6622516556291391,0.004303104501229874
Roman Safiullin,15000,0.6622516556291391,0.004303104501229874
Denis Shapovalov,20000,0.4975124378109453,0.00323268049594881
Dominic Thiem,20000,0.4975124378109453,0.00323268049594881
Marin Cilic,20000,0.4975124378109453,0.00323268049594881
Roberto Bautista-Agut,20000,0.4975124378109453,0.00323268049594881
Borna Coric,25000,0.398406374501992,0.0025887202377916766
Alexander Bublik,30000,0.33222591362126247,0.002158700264736581
David Goffin,30000,0.33222591362126247,0.002158700264736581
Lloyd Harris,30000,0.33222591362126247,0.002158700264736581
Milos Raonic,30000,0.33222591362126247,0.002158700264736581
Nicolas Jarry,30000,0.33222591362126247,0.002158700264736581
Stanislas Wawrinka,30000,0.33222591362126247,0.002158700264736581
Botic Van de Zandschulp,35000,0.2849002849002849,0.0018511931045176947
Daniel Evans,35000,0.2849002849002849,0.0018511931045176947
Rinky Hijikata,35000,0.2849002849002849,0.0018511931045176947
Alexander Shevchenko,40000,0.24937655860349126,0.0016203710216601266
Marton Fucsovics,40000,0.24937655860349126,0.0016203710216601266
Richard Gasquet,40000,0.24937655860349126,0.0016203710216601266
Sebastian Ofner,40000,0.24937655860349126,0.0016203710216601266
Yoshihito Nishioka,40000,0.24937655860349126,0.0016203710216601266
Yosuke Watanuki,40000,0.24937655860349126,0.0016203710216601266
Adam Walton,50000,0.19960079840319359,0.0012969436720273668
Albert Ramos-Vinolas,50000,0.19960079840319359,0.0012969436720273668
Alejandro Tabilo,50000,0.19960079840319359,0.0012969436720273668
Aleksandar Vukic,50000,0.19960079840319359,0.0012969436720273668
Alexandre Muller,50000,0.19960079840319359,0.0012969436720273668
