Player,Betting Odds
Carlos Alcaraz,275
Alexander Zverev,600
Jannik Sinner,450
Casper Ruud,1100
Novak Djokovic,350
Stefanos Tsitsipas,900
Alex de Minaur,12500
Grigor Dimitrov,12500
Daniil Medvedev,2800
Holger Rune,4000
Hubert Hurkacz,10000
Taylor Fritz,8000
Francisco Cerundolo,12500
Felix Auger-Aliassime,12500
Matteo Arnaldi,35000
Corentin Moutet,50000
Andrey Rublev,2800
Jan-Lennard Struff,10000
Tommy Paul,10000
Ben Shelton,20000
Tomas Martin Etcheverry,20000
Lorenzo Musetti,20000
Denis Shapovalov,30000
Sebastian Korda,25000
Tomas Machac,40000
Alejandro Davidovich Fokina,25000
Tallon Griekspoor,40000
Thanasi Kokkinakis,50000
Jozef Kovalik,50000
Zhizhen Zhang,30000
Zizou Bergs,40000
Pavel Kotov,50000
Sebastian Ofner,50000
Karen Khachanov,12500
Sebastian Baez,20000
Frances Tiafoe,30000
Luciano Darderi,35000
Kei Nishikori,50000
Mariano Navone,30000
Gael Monfils,35000
Alexander Bublik,40000
David Goffin,40000
Dusan Lajovic,40000
Fabian Marozsan,40000
Flavio Cobolli,40000
Jaume Munar,40000
Roberto Carballes Baena,40000
Fabio Fognini,50000
Filip Misolic,50000
Miomir Kecmanovic,35000
Jesper De Jong,40000
Stanislas Wawrinka,40000
Richard Gasquet,50000
Brandon Nakashima,40000
Daniel Altmaier,40000
Dominik Koepfer,40000
Lorenzo Sonego,40000
Pedro Martinez,40000
Alexander Shevchenko,50000
Giulio Zeppieri,50000
Maximilian Marterer,50000
Soonwoo Kwon,50000
Alexandre Muller,50000
Arthur Rinderknech,50000
Henri Squire,50000
Rafael Nadal,2000
Nicolas Jarry,8000
Alejandro Tabilo,10000
Cameron Norrie,25000
Jack Draper,25000
Arthur Fils,25000
Pablo Carreno-Busta,30000
Hamad Medjedovic,30000
Thiago Monteiro,30000
Thiago Seyboth Wild,30000
Ugo Humbert,30000
Roberto Bautista-Agut,35000
Borna Coric,40000
Botic Van de Zandschulp,40000
Andy Murray,40000
Emil Ruusuvuori,40000
Federico Coria,40000
Giovanni Mpetshi Perricard,40000
Gregoire Barrere,40000
Jakub Mensik,40000
Laslo Djere,40000
Marton Fucsovics,40000
Nuno Borges,40000
Roman Safiullin,40000
Yannick Hanfmann,40000
Daniel Evans,50000
Adam Walton,50000
Adrian Mannarino,50000
Aleksandar Kovacevic,50000
Aleksandar Vukic,50000
Alex Michelsen,50000
Alexei Popyrin,50000
Arthur Cazaux,50000
Aslan Karatsev,50000
Christopher Eubanks,50000
Christopher O'Connell,50000
Constant Lestienne,50000
Daniel Elahi Galan,50000
Felipe Meligeni Rodrigues Alves,50000
Gabriel Diallo,50000
Gustavo Heide,50000
Harold Mayot,50000
Hugo Gaston,50000
JJ Wolf,50000
Jordan Thompson,50000
Luca Nardi,50000
Luca Van Assche,50000
Mackenzie McDonald,50000
Marcos Giron,50000
Mattia Bellucci,50000
Max Purcell,50000
Mikhail Kukushkin,50000
Nicolas Moreno de Alboran,50000
Pedro Cachin,50000
Pierre-Hugues Herbert,50000
Rinky Hijikata,50000
Roman Andres Burruchaga,50000
Shintaro Mochizuki,50000
Sumit Nagal,50000
Taro Daniel,50000
Terence Atmane,50000
Thiago Agustin Tirante,50000
Valentin Vacherot,50000
Yoshihito Nishioka,50000
