Player,Betting Odds,Winning Probability,Normalized Winning Probability
Carlos Alcaraz,275,26.666666666666668,0.17655252874893373
Alexander Zverev,600,14.285714285714285,0.09458171182978592
Jannik Sinner,450,18.181818181818183,0.12037672414700029
Casper Ruud,1100,8.333333333333332,0.05517266523404179
Novak Djokovic,350,22.22222222222222,0.1471271072907781
Stefanos Tsitsipas,900,10.0,0.06620719828085016
Alex de Minaur,12500,0.7936507936507936,0.005254539546099218
Grigor Dimitrov,12500,0.7936507936507936,0.005254539546099218
Daniil Medvedev,2800,3.4482758620689653,0.022830068372706947
Holger Rune,4000,2.4390243902439024,0.01614809714167077
Hubert Hurkacz,10000,0.9900990099009901,0.0065551681466188266
Taylor Fritz,8000,1.2345679012345678,0.008173728182821006
Francisco Cerundolo,12500,0.7936507936507936,0.005254539546099218
Felix Auger-Aliassime,12500,0.7936507936507936,0.005254539546099218
Matteo Arnaldi,35000,0.2849002849002849,0.0018862449652663862
Corentin Moutet,50000,0.19960079840319359,0.0013215009636896235
Andrey Rublev,2800,3.4482758620689653,0.022830068372706947
Jan-Lennard Struff,10000,0.9900990099009901,0.0065551681466188266
Tommy Paul,10000,0.9900990099009901,0.0065551681466188266
Ben Shelton,20000,0.4975124378109453,0.0032938904617338385
Tomas Martin Etcheverry,20000,0.4975124378109453,0.0032938904617338385
Lorenzo Musetti,20000,0.4975124378109453,0.0032938904617338385
Denis Shapovalov,30000,0.33222591362126247,0.002199574693715952
Sebastian Korda,25000,0.398406374501992,0.0026377369833008027
Tomas Machac,40000,0.24937655860349126,0.0016510523262057394
Alejandro Davidovich Fokina,25000,0.398406374501992,0.0026377369833008027
Tallon Griekspoor,40000,0.24937655860349126,0.0016510523262057394
Thanasi Kokkinakis,50000,0.19960079840319359,0.0013215009636896235
Jozef Kovalik,50000,0.19960079840319359,0.0013215009636896235
Zhizhen Zhang,30000,0.33222591362126247,0.002199574693715952
Zizou Bergs,40000,0.24937655860349126,0.0016510523262057394
Pavel Kotov,50000,0.19960079840319359,0.0013215009636896235
Sebastian Ofner,50000,0.19960079840319359,0.0013215009636896235
Karen Khachanov,12500,0.7936507936507936,0.005254539546099218
Sebastian Baez,20000,0.4975124378109453,0.0032938904617338385
Frances Tiafoe,30000,0.33222591362126247,0.002199574693715952
Luciano Darderi,35000,0.2849002849002849,0.0018862449652663862
Kei Nishikori,50000,0.19960079840319359,0.0013215009636896235
Mariano Navone,30000,0.33222591362126247,0.002199574693715952
Gael Monfils,35000,0.2849002849002849,0.0018862449652663862
Alexander Bublik,40000,0.24937655860349126,0.0016510523262057394
David Goffin,40000,0.24937655860349126,0.0016510523262057394
Dusan Lajovic,40000,0.24937655860349126,0.0016510523262057394
Fabian Marozsan,40000,0.24937655860349126,0.0016510523262057394
Flavio Cobolli,40000,0.24937655860349126,0.0016510523262057394
Jaume Munar,40000,0.24937655860349126,0.0016510523262057394
Roberto Carballes Baena,40000,0.24937655860349126,0.0016510523262057394
Fabio Fognini,50000,0.19960079840319359,0.0013215009636896235
Filip Misolic,50000,0.19960079840319359,0.0013215009636896235
Miomir Kecmanovic,35000,0.2849002849002849,0.0018862449652663862
Jesper De Jong,40000,0.24937655860349126,0.0016510523262057394
Stanislas Wawrinka,40000,0.24937655860349126,0.0016510523262057394
Richard Gasquet,50000,0.19960079840319359,0.0013215009636896235
Brandon Nakashima,40000,0.24937655860349126,0.0016510523262057394
Daniel Altmaier,40000,0.24937655860349126,0.0016510523262057394
Dominik Koepfer,40000,0.24937655860349126,0.0016510523262057394
Lorenzo Sonego,40000,0.24937655860349126,0.0016510523262057394
Pedro Martinez,40000,0.24937655860349126,0.0016510523262057394
Alexander Shevchenko,50000,0.19960079840319359,0.0013215009636896235
Giulio Zeppieri,50000,0.19960079840319359,0.0013215009636896235
Maximilian Marterer,50000,0.19960079840319359,0.0013215009636896235
Soonwoo Kwon,50000,0.19960079840319359,0.0013215009636896235
Alexandre Muller,50000,0.19960079840319359,0.0013215009636896235
Arthur Rinderknech,50000,0.19960079840319359,0.0013215009636896235
Henri Squire,50000,0.19960079840319359,0.0013215009636896235
Rafael Nadal,2000,4.761904761904762,0.03152723727659531
Nicolas Jarry,8000,1.2345679012345678,0.008173728182821006
Alejandro Tabilo,10000,0.9900990099009901,0.0065551681466188266
Cameron Norrie,25000,0.398406374501992,0.0026377369833008027
Jack Draper,25000,0.398406374501992,0.0026377369833008027
Arthur Fils,25000,0.398406374501992,0.0026377369833008027
Pablo Carreno-Busta,30000,0.33222591362126247,0.002199574693715952
Hamad Medjedovic,30000,0.33222591362126247,0.002199574693715952
Thiago Monteiro,30000,0.33222591362126247,0.002199574693715952
Thiago Seyboth Wild,30000,0.33222591362126247,0.002199574693715952
Ugo Humbert,30000,0.33222591362126247,0.002199574693715952
Roberto Bautista-Agut,35000,0.2849002849002849,0.0018862449652663862
Borna Coric,40000,0.24937655860349126,0.0016510523262057394
Botic Van de Zandschulp,40000,0.24937655860349126,0.0016510523262057394
Andy Murray,40000,0.24937655860349126,0.0016510523262057394
Emil Ruusuvuori,40000,0.24937655860349126,0.0016510523262057394
Federico Coria,40000,0.24937655860349126,0.0016510523262057394
Giovanni Mpetshi Perricard,40000,0.24937655860349126,0.0016510523262057394
Gregoire Barrere,40000,0.24937655860349126,0.0016510523262057394
Jakub Mensik,40000,0.24937655860349126,0.0016510523262057394
Laslo Djere,40000,0.24937655860349126,0.0016510523262057394
Marton Fucsovics,40000,0.24937655860349126,0.0016510523262057394
Nuno Borges,40000,0.24937655860349126,0.0016510523262057394
Roman Safiullin,40000,0.24937655860349126,0.0016510523262057394
Yannick Hanfmann,40000,0.24937655860349126,0.0016510523262057394
Daniel Evans,50000,0.19960079840319359,0.0013215009636896235
Adam Walton,50000,0.19960079840319359,0.0013215009636896235
Adrian Mannarino,50000,0.19960079840319359,0.0013215009636896235
Aleksandar Kovacevic,50000,0.19960079840319359,0.0013215009636896235
Aleksandar Vukic,50000,0.19960079840319359,0.0013215009636896235
Alex Michelsen,50000,0.19960079840319359,0.0013215009636896235
Alexei Popyrin,50000,0.19960079840319359,0.0013215009636896235
Arthur Cazaux,50000,0.19960079840319359,0.0013215009636896235
Aslan Karatsev,50000,0.19960079840319359,0.0013215009636896235
Christopher Eubanks,50000,0.19960079840319359,0.0013215009636896235
Christopher O'Connell,50000,0.19960079840319359,0.0013215009636896235
Constant Lestienne,50000,0.19960079840319359,0.0013215009636896235
Daniel Elahi Galan,50000,0.19960079840319359,0.0013215009636896235
Felipe Meligeni Rodrigues Alves,50000,0.19960079840319359,0.0013215009636896235
Gabriel Diallo,50000,0.19960079840319359,0.0013215009636896235
Gustavo Heide,50000,0.19960079840319359,0.0013215009636896235
Harold Mayot,50000,0.19960079840319359,0.0013215009636896235
Hugo Gaston,50000,0.19960079840319359,0.0013215009636896235
JJ Wolf,50000,0.19960079840319359,0.0013215009636896235
Jordan Thompson,50000,0.19960079840319359,0.0013215009636896235
Luca Nardi,50000,0.19960079840319359,0.0013215009636896235
Luca Van Assche,50000,0.19960079840319359,0.0013215009636896235
Mackenzie McDonald,50000,0.19960079840319359,0.0013215009636896235
Marcos Giron,50000,0.19960079840319359,0.0013215009636896235
Mattia Bellucci,50000,0.19960079840319359,0.0013215009636896235
Max Purcell,50000,0.19960079840319359,0.0013215009636896235
Mikhail Kukushkin,50000,0.19960079840319359,0.0013215009636896235
Nicolas Moreno de Alboran,50000,0.19960079840319359,0.0013215009636896235
Pedro Cachin,50000,0.19960079840319359,0.0013215009636896235
Pierre-Hugues Herbert,50000,0.19960079840319359,0.0013215009636896235
Rinky Hijikata,50000,0.19960079840319359,0.0013215009636896235
Roman Andres Burruchaga,50000,0.19960079840319359,0.0013215009636896235
Shintaro Mochizuki,50000,0.19960079840319359,0.0013215009636896235
Sumit Nagal,50000,0.19960079840319359,0.0013215009636896235
Taro Daniel,50000,0.19960079840319359,0.0013215009636896235
Terence Atmane,50000,0.19960079840319359,0.0013215009636896235
Thiago Agustin Tirante,50000,0.19960079840319359,0.0013215009636896235
Valentin Vacherot,50000,0.19960079840319359,0.0013215009636896235
Yoshihito Nishioka,50000,0.19960079840319359,0.0013215009636896235
