Player,Betting Odds
Jannik Sinner,350
Alexander Zverev,650
Daniil Medvedev,1400
Taylor Fritz,5000
Alex de Minaur,8000
Jack Draper,8000
Frances Tiafoe,6600
Alexei Popyrin,15000
Andrey Rublev,3300
Grigor Dimitrov,12500
Tommy Paul,8000
Casper Ruud,8000
Brandon Nakashima,30000
Jordan Thompson,40000
Tomas Machac,40000
Nuno Borges,40000
Novak Djokovic,250
Ben Shelton,8000
Lorenzo Musetti,10000
Botic Van de Zandschulp,50000
Jiri Lehecka,20000
Matteo Arnaldi,30000
Juncheng Shang,30000
Daniel Evans,50000
Flavio Cobolli,30000
Tomas Martin Etcheverry,40000
Christopher O'Connell,50000
Francisco Comesana,40000
Gabriel Diallo,40000
David Goffin,50000
Jakub Mensik,40000
Tallon Griekspoor,40000
Carlos Alcaraz,210
Stefanos Tsitsipas,6600
Sebastian Korda,6600
Matteo Berrettini,8000
Hubert Hurkacz,10000
Felix Auger-Aliassime,10000
Arthur Fils,20000
Karen Khachanov,25000
Denis Shapovalov,25000
Francisco Cerundolo,30000
Ugo Humbert,30000
Alex Michelsen,30000
Nicolas Jarry,30000
Miomir Kecmanovic,40000
Alejandro Tabilo,35000
Roman Safiullin,35000
Arthur Rinderknech,40000
Gael Monfils,40000
Stanislas Wawrinka,40000
Aleksandar Vukic,40000
Arthur Cazaux,40000
Borna Coric,40000
Fabian Marozsan,40000
Hamad Medjedovic,40000
Marcos Giron,40000
Mattia Bellucci,40000
Roberto Bautista-Agut,40000
Thanasi Kokkinakis,40000
Zhizhen Zhang,40000
Alexander Shevchenko,50000
Adrian Mannarino,50000
Albert Ramos-Vinolas,50000
Alexandre Muller,50000
Constant Lestienne,50000
Corentin Moutet,50000
Daniel Altmaier,50000
Dusan Lajovic,50000
Eliot Spizzirri,50000
Fabio Fognini,50000
Facundo Diaz Acosta,50000
Federico Coria,50000
Hugo Gaston,50000
James Duckworth,50000
Jaume Munar,50000
Laslo Djere,50000
Learner Tien,50000
Li Tu,50000
Lorenzo Sonego,50000
Mackenzie McDonald,50000
Mariano Navone,50000
Matthew Forbes,50000
Max Purcell,50000
Mitchell Krueger,50000
Otto Virtanen,50000
Pavel Kotov,50000
Pedro Martinez,50000
Quentin Halys,50000
Rinky Hijikata,50000
Roberto Carballes Baena,50000
Sebastian Baez,50000
Soonwoo Kwon,50000
Taro Daniel,50000
Timofey Skatov,50000
Tristan Schoolkate,50000
Zachary Svajda,50000
Zizou Bergs,50000
Holger Rune,5000
Christopher Eubanks,30000
Alejandro Davidovich Fokina,30000
Jan-Lennard Struff,30000
Alexander Bublik,35000
Reilly Opelka,35000
Bu Yunchaokete,40000
Diego Schwartzman,40000
Giovanni Mpetshi Perricard,40000
Marton Fucsovics,40000
Pablo Carreno Busta,40000
Radu Albot,40000
Yoshihito Nishioka,40000
Adam Walton,50000
Aleksandar Kovacevic,50000
Camilo Ugo Carabelli,50000
Dominic Stephan Stricker,50000
Dominic Thiem,50000
Dominik Koepfer,50000
Hugo Grenier,50000
Jan Choinski,50000
Kyrian Jacquet,50000
Luca Nardi,50000
Luciano Darderi,50000
Maks Kasnikowski,50000
Maximilian Marterer,50000
Sebastian Ofner,50000
Sumit Nagal,50000
Thiago Monteiro,50000
Thiago Seyboth Wild,50000
