Player,Betting Odds,Winning Probability,Normalized Winning Probability
Jannik Sinner,350,22.22222222222222,0.14656488628392658
Alexander Zverev,650,13.333333333333334,0.08793893177035594
Daniil Medvedev,1400,6.666666666666667,0.04396946588517797
Taylor Fritz,5000,1.9607843137254901,0.012932195848581756
Alex de Minaur,8000,1.2345679012345678,0.008142493682440365
Jack Draper,8000,1.2345679012345678,0.008142493682440365
Frances Tiafoe,6600,1.4925373134328357,0.009843910272801038
Alexei Popyrin,15000,0.6622516556291391,0.00436782773693821
Andrey Rublev,3300,2.941176470588235,0.019398293772872634
Grigor Dimitrov,12500,0.7936507936507936,0.005234460224425949
Tommy Paul,8000,1.2345679012345678,0.008142493682440365
Casper Ruud,8000,1.2345679012345678,0.008142493682440365
Brandon Nakashima,30000,0.33222591362126247,0.0021911693962713276
Jordan Thompson,40000,0.24937655860349126,0.0016447431129118942
Tomas Machac,40000,0.24937655860349126,0.0016447431129118942
Nuno Borges,40000,0.24937655860349126,0.0016447431129118942
Novak Djokovic,250,28.57142857142857,0.18844056807933415
Ben Shelton,8000,1.2345679012345678,0.008142493682440365
Lorenzo Musetti,10000,0.9900990099009901,0.006530118695818511
Botic Van de Zandschulp,50000,0.19960079840319359,0.001316451074406526
Jiri Lehecka,20000,0.4975124378109453,0.0032813034242670128
Matteo Arnaldi,30000,0.33222591362126247,0.0021911693962713276
Juncheng Shang,30000,0.33222591362126247,0.0021911693962713276
Daniel Evans,50000,0.19960079840319359,0.001316451074406526
Flavio Cobolli,30000,0.33222591362126247,0.0021911693962713276
Tomas Martin Etcheverry,40000,0.24937655860349126,0.0016447431129118942
Christopher O'Connell,50000,0.19960079840319359,0.001316451074406526
Francisco Comesana,40000,0.24937655860349126,0.0016447431129118942
Gabriel Diallo,40000,0.24937655860349126,0.0016447431129118942
David Goffin,50000,0.19960079840319359,0.001316451074406526
Jakub Mensik,40000,0.24937655860349126,0.0016447431129118942
Tallon Griekspoor,40000,0.24937655860349126,0.0016447431129118942
Carlos Alcaraz,210,32.25806451612903,0.21275548008957082
Stefanos Tsitsipas,6600,1.4925373134328357,0.009843910272801038
Sebastian Korda,6600,1.4925373134328357,0.009843910272801038
Matteo Berrettini,8000,1.2345679012345678,0.008142493682440365
Hubert Hurkacz,10000,0.9900990099009901,0.006530118695818511
Felix Auger-Aliassime,10000,0.9900990099009901,0.006530118695818511
Arthur Fils,20000,0.4975124378109453,0.0032813034242670128
Karen Khachanov,25000,0.398406374501992,0.0026276573238154166
Denis Shapovalov,25000,0.398406374501992,0.0026276573238154166
Francisco Cerundolo,30000,0.33222591362126247,0.0021911693962713276
Ugo Humbert,30000,0.33222591362126247,0.0021911693962713276
Alex Michelsen,30000,0.33222591362126247,0.0021911693962713276
Nicolas Jarry,30000,0.33222591362126247,0.0021911693962713276
Miomir Kecmanovic,40000,0.24937655860349126,0.0016447431129118942
Alejandro Tabilo,35000,0.2849002849002849,0.0018790370036400844
Roman Safiullin,35000,0.2849002849002849,0.0018790370036400844
Arthur Rinderknech,40000,0.24937655860349126,0.0016447431129118942
Gael Monfils,40000,0.24937655860349126,0.0016447431129118942
Stanislas Wawrinka,40000,0.24937655860349126,0.0016447431129118942
Aleksandar Vukic,40000,0.24937655860349126,0.0016447431129118942
Arthur Cazaux,40000,0.24937655860349126,0.0016447431129118942
Borna Coric,40000,0.24937655860349126,0.0016447431129118942
Fabian Marozsan,40000,0.24937655860349126,0.0016447431129118942
Hamad Medjedovic,40000,0.24937655860349126,0.0016447431129118942
Marcos Giron,40000,0.24937655860349126,0.0016447431129118942
Mattia Bellucci,40000,0.24937655860349126,0.0016447431129118942
Roberto Bautista-Agut,40000,0.24937655860349126,0.0016447431129118942
Thanasi Kokkinakis,40000,0.24937655860349126,0.0016447431129118942
Zhizhen Zhang,40000,0.24937655860349126,0.0016447431129118942
Alexander Shevchenko,50000,0.19960079840319359,0.001316451074406526
Adrian Mannarino,50000,0.19960079840319359,0.001316451074406526
Albert Ramos-Vinolas,50000,0.19960079840319359,0.001316451074406526
Alexandre Muller,50000,0.19960079840319359,0.001316451074406526
Constant Lestienne,50000,0.19960079840319359,0.001316451074406526
Corentin Moutet,50000,0.19960079840319359,0.001316451074406526
Daniel Altmaier,50000,0.19960079840319359,0.001316451074406526
Dusan Lajovic,50000,0.19960079840319359,0.001316451074406526
Eliot Spizzirri,50000,0.19960079840319359,0.001316451074406526
Fabio Fognini,50000,0.19960079840319359,0.001316451074406526
Facundo Diaz Acosta,50000,0.19960079840319359,0.001316451074406526
Federico Coria,50000,0.19960079840319359,0.001316451074406526
Hugo Gaston,50000,0.19960079840319359,0.001316451074406526
James Duckworth,50000,0.19960079840319359,0.001316451074406526
Jaume Munar,50000,0.19960079840319359,0.001316451074406526
Laslo Djere,50000,0.19960079840319359,0.001316451074406526
Learner Tien,50000,0.19960079840319359,0.001316451074406526
Li Tu,50000,0.19960079840319359,0.001316451074406526
Lorenzo Sonego,50000,0.19960079840319359,0.001316451074406526
Mackenzie McDonald,50000,0.19960079840319359,0.001316451074406526
Mariano Navone,50000,0.19960079840319359,0.001316451074406526
Matthew Forbes,50000,0.19960079840319359,0.001316451074406526
Max Purcell,50000,0.19960079840319359,0.001316451074406526
Mitchell Krueger,50000,0.19960079840319359,0.001316451074406526
Otto Virtanen,50000,0.19960079840319359,0.001316451074406526
Pavel Kotov,50000,0.19960079840319359,0.001316451074406526
Pedro Martinez,50000,0.19960079840319359,0.001316451074406526
Quentin Halys,50000,0.19960079840319359,0.001316451074406526
Rinky Hijikata,50000,0.19960079840319359,0.001316451074406526
Roberto Carballes Baena,50000,0.19960079840319359,0.001316451074406526
Sebastian Baez,50000,0.19960079840319359,0.001316451074406526
Soonwoo Kwon,50000,0.19960079840319359,0.001316451074406526
Taro Daniel,50000,0.19960079840319359,0.001316451074406526
Timofey Skatov,50000,0.19960079840319359,0.001316451074406526
Tristan Schoolkate,50000,0.19960079840319359,0.001316451074406526
Zachary Svajda,50000,0.19960079840319359,0.001316451074406526
Zizou Bergs,50000,0.19960079840319359,0.001316451074406526
Holger Rune,5000,1.9607843137254901,0.012932195848581756
Christopher Eubanks,30000,0.33222591362126247,0.0021911693962713276
Alejandro Davidovich Fokina,30000,0.33222591362126247,0.0021911693962713276
Jan-Lennard Struff,30000,0.33222591362126247,0.0021911693962713276
Alexander Bublik,35000,0.2849002849002849,0.0018790370036400844
Reilly Opelka,35000,0.2849002849002849,0.0018790370036400844
Bu Yunchaokete,40000,0.24937655860349126,0.0016447431129118942
Diego Schwartzman,40000,0.24937655860349126,0.0016447431129118942
Giovanni Mpetshi Perricard,40000,0.24937655860349126,0.0016447431129118942
Marton Fucsovics,40000,0.24937655860349126,0.0016447431129118942
Pablo Carreno Busta,40000,0.24937655860349126,0.0016447431129118942
Radu Albot,40000,0.24937655860349126,0.0016447431129118942
Yoshihito Nishioka,40000,0.24937655860349126,0.0016447431129118942
Adam Walton,50000,0.19960079840319359,0.001316451074406526
