Player,Betting Odds,Winning Probability,Normalized Winning Probability
Carlos Alcaraz,240,29.411764705882355,0.18530667800775108
Novak Djokovic,360,21.73913043478261,0.13696580548398993
Daniil Medvedev,3300,2.941176470588235,0.018530667800775107
Lorenzo Musetti,15000,0.6622516556291391,0.004172468246532144
Jannik Sinner,190,34.48275862068966,0.2172561052504668
Taylor Fritz,4000,2.4390243902439024,0.01536689524942326
Alex de Minaur,2500,3.8461538461538463,0.02423241173947514
Tommy Paul,3300,2.941176470588235,0.018530667800775107
Alexander Zverev,1600,5.88235294117647,0.03706133560155021
Holger Rune,4000,2.4390243902439024,0.01536689524942326
Grigor Dimitrov,5000,1.9607843137254901,0.012353778533850071
Giovanni Mpetshi Perricard,30000,0.33222591362126247,0.002093165133642371
Ugo Humbert,30000,0.33222591362126247,0.002093165133642371
Ben Shelton,15000,0.6622516556291391,0.004172468246532144
Arthur Fils,40000,0.24937655860349126,0.0015711788160258195
Roberto Bautista-Agut,30000,0.33222591362126247,0.002093165133642371
Jan-Lennard Struff,8000,1.2345679012345678,0.007778305002794489
Cameron Norrie,25000,0.398406374501992,0.0025101302997065883
Denis Shapovalov,20000,0.4975124378109453,0.00313454082202166
Alexander Bublik,20000,0.4975124378109453,0.00313454082202166
Alejandro Tabilo,20000,0.4975124378109453,0.00313454082202166
Yoshihito Nishioka,50000,0.19960079840319359,0.0012575702699128813
Gael Monfils,15000,0.6622516556291391,0.004172468246532144
Frances Tiafoe,30000,0.33222591362126247,0.002093165133642371
Emil Ruusuvuori,50000,0.19960079840319359,0.0012575702699128813
Francisco Comesana,50000,0.19960079840319359,0.0012575702699128813
Roman Safiullin,35000,0.2849002849002849,0.0017949934621833438
Miomir Kecmanovic,40000,0.24937655860349126,0.0015711788160258195
Fabio Fognini,50000,0.19960079840319359,0.0012575702699128813
Quentin Halys,50000,0.19960079840319359,0.0012575702699128813
Brandon Nakashima,40000,0.24937655860349126,0.0015711788160258195
Lucas Pouille,50000,0.19960079840319359,0.0012575702699128813
Alexei Popyrin,50000,0.19960079840319359,0.0012575702699128813
Hubert Hurkacz,1200,7.6923076923076925,0.04846482347895028
Jack Draper,2000,4.761904761904762,0.030002033582207314
Stefanos Tsitsipas,4000,2.4390243902439024,0.01536689524942326
Matteo Berrettini,4000,2.4390243902439024,0.01536689524942326
Casper Ruud,15000,0.6622516556291391,0.004172468246532144
Christopher Eubanks,20000,0.4975124378109453,0.00313454082202166
Felix Auger-Aliassime,20000,0.4975124378109453,0.00313454082202166
Karen Khachanov,20000,0.4975124378109453,0.00313454082202166
Marcos Giron,30000,0.33222591362126247,0.002093165133642371
Tallon Griekspoor,30000,0.33222591362126247,0.002093165133642371
Zhizhen Zhang,30000,0.33222591362126247,0.002093165133642371
Daniel Evans,30000,0.33222591362126247,0.002093165133642371
Flavio Cobolli,40000,0.24937655860349126,0.0015711788160258195
