Player_Name,Hard_ELO,Clay_ELO,Grass_ELO,Player_age
Sharmal Dissanayake,1498.2127372044997,1497.9155355942528,1498.2792323550009,28.8
Jannik Sinner,1815.7033340227542,1819.4362120182009,1785.2357454532544,21.6
Hazem Naw,1500.0033996605903,1500.0027197284721,1500.0027197284721,23.1
Juan Pablo Varillas,1505.3246106067086,1510.1250875296926,1506.866532505067,27.5
Roman Safiullin,1569.9777593628885,1564.0621680426746,1559.5733010691383,25.7
Andrew Harris,1492.378387743304,1493.9027101946433,1493.9027101946433,28.9
Dudi Sela,1463.8302825497249,1462.1874422948479,1470.9644019324219,39.4
Freddy Murray,1500.0,1500.0,1500.0,20.1
Xavier Lawrence,1498.884349199258,1499.1074793594062,1499.1074793594062,24.1
Benjamin Lock,1504.9735623813574,1502.963659441189,1503.527654143354,33.5
Nicolas Xiviller,1500.453151070404,1500.362520856323,1500.362520856323,24.9
Constant Lestienne,1551.9485665127886,1538.7601982651536,1540.3150065679747,30.8
Roberto Marcora,1495.1746400599222,1494.8091231160274,1495.548339189311,34.0
Benoit Paire,1347.305422612808,1342.6261533973025,1355.8958985701645,34.8
Osgar Ohoisin,1499.8585667823322,1499.8868534258656,1499.8868534258656,28.0
David Ferrer,1553.8340778291135,1554.8798753680755,1542.0636110837193,41.0
Adam Moundir,1500.2471213553622,1500.3089016942029,1500.2471213553622,30.9
Kyle Edmund,1534.6581390676256,1523.6751117237386,1523.5648168602331,29.2
Alexandr Dolgopolov,1537.3462604994113,1535.0434304405878,1533.6816986942129,34.1
Fred Simonsson,1498.0406971479522,1497.5508714349403,1498.0406971479522,28.6
Diego Galeano,1499.731177949041,1499.6639724363013,1499.731177949041,30.9
Yuki Bhambri,1446.997980793976,1452.2728254474061,1451.6999637802967,31.5
Martin Alund,1498.8982557995334,1498.6228197494167,1498.8982557995334,37.1
Youssef Hossam,1501.1049150120753,1500.8839320096606,1500.8839320096606,24.8
Aljaz Bedene,1443.5176837388553,1473.596095267942,1446.941687515846,33.7
Orlando Luz,1499.4557206063062,1499.3196507578828,1499.4557206063062,25.5
Alen Avidzba,1500.0346106374946,1500.0276885099956,1500.0276885099956,23.6
Tihomir Grozdanov,1500.6986186113572,1500.722060860532,1500.6314130986175,36.2
Ignacio Carou,1491.4175810442778,1489.2719763053472,1491.4175810442778,24.1
Tadas Babelis,1496.560350637774,1496.730113545616,1497.0179840815067,26.1
Andrej Martin,1436.174113234753,1446.1028088009061,1447.5307757167488,34.3
Taylor Fritz,1794.9111369659024,1733.1110035031584,1762.5148505484528,25.4
Artem Dubrivnyy,1494.1852332214999,1495.3481865771998,1495.3481865771998,24.7
Potito Starace,1497.7898596086443,1497.2373245108058,1497.7898596086443,41.6
Gabi Adrian Boitan,1498.1245175626213,1497.6556469532766,1498.1245175626213,23.6
Jonathan Eysseric,1496.344881257266,1497.075905005813,1497.075905005813,33.2
Federico Coria,1492.3405468507433,1525.9875982503163,1493.0611665257272,31.1
Michael Linzer,1495.947608722004,1494.9345109025046,1495.947608722004,33.4
Sarp Agabigun,1501.115650800742,1500.8925206405938,1500.8925206405938,25.6
Karan Rastogi,1500.8245308574906,1500.6596246859924,1500.6596246859924,36.3
Pablo Carreno Busta,1716.7188732357904,1687.2027814119206,1651.7718673928223,31.5
Henrik Sillanpaa,1499.2617712071844,1499.0772140089807,1499.2617712071844,31.8
Matteo Trevisan,1498.4562862206506,1498.0703577758131,1498.4562862206506,33.9
Tegar Abdi Satrio Wibowo,1496.183999795897,1496.9471998367176,1496.9471998367176,20.5
Lluis Miralles,1496.7272861669005,1497.3818289335204,1497.3818289335204,22.3
Marc Andrea Huesler,1545.5201347226741,1525.893967006497,1519.9161671398565,26.8
Jorge Brian Panta Herreros,1501.379469435396,1501.724336794245,1501.379469435396,27.5
George Loffhagen,1500.0,1500.0,1500.0,22.2
Nicolas Moreno De Alboran,1500.0,1500.0,1500.0,26.3
Erik Arutiunian,1497.6485607239565,1497.0607009049456,1497.6485607239565,18.9
Dimitar Kuzmanov,1478.667513754284,1484.5024103033877,1483.6310773589653,29.6
Warit Sornbutnark,1499.0832248959098,1499.266579916728,1499.266579916728,30.0
Lukas Mugevicius,1499.6311322292931,1499.9264870119591,1499.8033863294454,28.3
Viktor Galovic,1488.5320597318778,1487.8930501817256,1486.3040842149994,33.7
Francis Casey Alcantara,1500.3611739258502,1500.451467407313,1500.3611739258502,31.4
Maxim Bulat,1499.0916297729948,1499.2733038183958,1499.2733038183958,25.9
Hao Sheng Koay,1499.3868433970556,1499.5094747176445,1499.5094747176445,24.5
Manas Dhamne,1500.0,1500.0,1500.0,15.0
Feliciano Lopez,1336.7620201097295,1346.6951470171764,1370.6619952900273,41.5
Zhizhen Zhang,1483.2740239952366,1481.3291697374946,1477.6273352735607,26.5
Mark Chigaazira,1498.884349199258,1499.1074793594062,1499.1074793594062,24.9
N Vijay Sundar Prashanth,1498.1613482251487,1498.529078580119,1498.529078580119,36.1
Michail Pervolarakis,1440.143227962638,1450.9498301863653,1451.5969147328906,27.5
Jan Hajek,1494.6352494076787,1495.7081995261428,1495.7081995261428,39.4
Kevin Krawietz,1500.436103064847,1500.436103064847,1500.5451288310585,31.4
Lorenzo Giustino,1479.9470884541865,1483.9906726901281,1483.9723382863622,34.6
Daniel Elahi Galan,1577.5926075170948,1571.2632371083898,1582.8701838421728,26.7
Petros Tsitsipas,1491.8619260546136,1495.0034629234724,1494.1623951013714,22.5
Dalibor Svrcina,1500.0,1500.0,1500.0,20.2
Amine Ahouda,1492.9383860569344,1491.7080035366077,1493.1761731526854,26.5
Leo Borg,1482.9095625941263,1486.327650075301,1486.327650075301,20.4
Dinko Halachev,1499.731177949041,1499.6639724363013,1499.731177949041,38.4
Jaume Munar,1497.3540117203293,1538.5319702490347,1502.1717380062823,25.9
Fajing Sun,1500.0,1500.0,1500.0,26.9
Yusuke Takahashi,1496.6400456597714,1497.312036527817,1497.312036527817,25.9
Pablo Llamas Ruiz,1500.0,1500.0,1500.0,20.6
Yuichi Sugita,1408.755140037287,1411.4942350126648,1417.6476726556925,34.8
Martins Podzus,1498.9305510495929,1499.4711195671077,1499.2896313852002,29.5
Juan Borba,1498.1852774627032,1497.7315968283792,1498.1852774627032,32.4
Kento Takeuchi,1498.64550022279,1498.916400178232,1498.916400178232,35.7
Nicolae Frunza,1498.875610022844,1499.1004880182752,1499.1004880182752,25.2
Fabiano De Paula,1498.9153426536293,1498.6441783170364,1498.9153426536293,34.6
Maximo Gonzalez,1479.7146459676885,1478.1214339433568,1481.2604799604644,39.7
Stan Wawrinka,1587.808894017317,1568.711566480856,1555.359016095289,38.0
Pere Riba,1481.942355802982,1481.9349523082503,1483.1600798137097,36.8
Prajnesh Gunneswaran,1405.4800946276307,1417.8534228893077,1417.7386217723842,33.2
Lukas Rosol,1428.5315390374972,1435.9072199476316,1430.1776658860126,40.2
Dragos Dima,1502.5949481486505,1502.0759585189205,1502.0759585189205,30.7
Julien Cagnina,1498.884349199258,1499.1074793594062,1499.1074793594062,28.6
Omar Awadhy,1496.802534393579,1497.4420275148632,1497.4420275148632,41.1
Nicholas Campbell,1499.1720463194006,1499.3376370555206,1499.3376370555206,52.0
Linh Giang Trinh,1498.7084906210675,1498.23440087267,1498.6412851083278,31.5
Florian Mayer,1423.6050749387082,1426.2072433015123,1436.7314910046703,39.8
Henri Squire,1489.479306080839,1489.479306080839,1486.849132601049,22.7
Gabriel Flores Ruiz,1499.5467609360987,1499.6374087488791,1499.6374087488791,31.0
Frederik Nielsen,1504.9000912879346,1504.0410429532787,1503.973837440539,39.5
Andrey Rublev,1823.3964303431198,1776.722387230087,1768.2725958642577,25.5
Jeson Patrombon,1494.324728775086,1494.6608312659853,1495.1046933515872,31.9
Chieh Fu Wang,1500.5731693451467,1500.458535476117,1500.458535476117,29.4
Daniel Rincon,1500.0,1500.0,1500.0,20.2
Omni Kumar,1500.0,1500.0,1500.0,21.8
Philip Bester,1497.86667722818,1498.1188267487855,1498.215779545318,34.3
Christian Harrison,1504.7589302690326,1498.8205782413584,1501.4325081496493,29.0
Sergis Kyratzis,1499.4636548680983,1499.3295685851228,1499.4636548680983,27.8
Thomas Oger,1500.826494441108,1500.6611955528863,1500.6611955528863,42.8
Peter Polansky,1438.66707000547,1443.4435297932255,1444.8652945839544,35.6
David Agung Susanto,1498.771633173707,1499.020343062198,1499.0186561048465,35.1
Dennis Novak,1385.5520512133899,1395.655195984388,1402.05486404994,30.4
Aleksandar Kovacevic,1536.961260896732,1529.5690087173855,1529.5690087173855,24.5
Christopher Diaz Figueroa,1500.663225445226,1500.5299723763935,1500.530310142942,32.8
Bradley Klahn,1416.0647502586537,1424.2444016860675,1425.0562202479007,36.9
Akira Santillan,1486.5439219594941,1487.0520295049794,1488.200470484958,26.1
Gianluca Mager,1440.4300019736456,1455.2538170359783,1454.6306977494005,28.1
Andreas Bjerrehus,1499.3820357886664,1499.5056286309332,1499.5056286309332,31.2
Aissa Benchakroun,1501.6275369426312,1502.034421178289,1501.6275369426312,20.9
Jiri Vesely,1486.3594714042179,1473.5278947094055,1515.3890776324524,30.1
Kaichi Uchida,1489.4764283816835,1492.0244007729823,1492.5784733575265,29.1
Walid Ahouda,1500.0,1500.0,1500.0,19.9
Michel Saade,1498.884349199258,1499.1074793594062,1499.1074793594062,24.3
Ruben Gonzales,1501.81725981752,1502.3290670618699,1501.8428119463954,37.3
Sebastian Dominko,1494.8618189950407,1493.577273743801,1494.8618189950407,19.7
Duilio Beretta,1500.5283225230494,1500.6609940283415,1500.5285851339515,30.9
Franko Skugor,1475.5656364765646,1473.9921934115303,1473.8133081374308,36.3
Tristan Lamasine,1493.3878178427033,1493.5766457093291,1492.9221506431904,29.8
Yuta Shimizu,1486.0502137984731,1489.2778105207683,1489.8248598732553,25.3
Billy Harris,1500.0,1500.0,1500.0,28.7
Gonzalo Villanueva,1488.3579455957258,1490.6863564765806,1490.6863564765806,28.5
Gilles Arnaud Bailly,1486.8098691847977,1489.447895347838,1489.447895347838,18.0
Roberto Carballes Baena,1496.3397705895134,1516.7320586431795,1482.8751784333115,30.0
Dominic Thiem,1691.259491907913,1665.3968554517176,1644.2661541166483,29.6
Nenad Zimonjic,1498.3776577915712,1498.702126233257,1498.702126233257,46.8
Pedro Cachin,1520.2906026170858,1510.1252255705967,1513.5181458611921,28.0
Andrey Kuznetsov,1489.5522489744487,1483.7277174464616,1486.4828639019902,35.4
Mousa Shanan Zayed,1498.655889745205,1498.924711796164,1498.924711796164,28.8
Thanasi Kokkinakis,1516.2092021933538,1508.3380343280564,1515.2361964633044,26.9
Siim Troost,1497.2559418195299,1497.804753455624,1497.804753455624,23.7
Bjorn Phau,1501.302542468295,1501.042033974636,1501.042033974636,43.3
Yosuke Watanuki,1486.3730902128045,1498.526564835222,1494.1046497544503,24.9
Salvatore Caruso,1384.0796315599023,1378.3228157160727,1385.2604969288057,31.0
Alexander Sarkissian,1483.190110588887,1486.5520884711093,1486.5520884711093,38.2
Damir Dzumhur,1420.1204861866784,1425.8803494936,1432.5820509718592,30.9
Quinton Vega,1495.921013054609,1496.7368104436869,1496.7368104436869,30.2
Thai Son Kwiatkowski,1458.9459925786064,1466.6191485904499,1465.9470917499054,28.5
Giovanni Lapentti,1496.4107768246054,1495.5134710307568,1496.4107768246054,40.0
Courtney John Lock,1498.7537567177428,1499.0030053741941,1499.0030053741941,26.3
Ugo Humbert,1464.8959886986358,1447.8984002706695,1491.897277039123,24.7
Evgenii Tiurnev,1487.0120887576957,1489.6096710061565,1489.6096710061565,26.5
Karlis Ozolins,1497.5983560566715,1498.0786848453374,1498.0786848453374,21.2
Jordi Munoz Abreu,1495.019882301568,1495.4714206565964,1495.773912425851,36.1
Salvador Andres Bolanos,1499.3951506368296,1499.395033588684,1499.4623041002283,24.8
Peter August Anker,1498.884349199258,1499.1074793594062,1499.1074793594062,23.6
Manuel Guinard,1503.837842408572,1498.4567180065364,1501.019804628937,27.4
Mili Poljicak,1487.461222522384,1484.3265281529802,1487.461222522384,19.0
Marat Deviatiarov,1500.4535889182744,1500.3628711346196,1500.3628711346196,29.4
Peter Torebko,1494.2749448600298,1492.8436810750372,1494.2749448600298,35.4
Vaclav Safranek,1486.0845039724768,1488.4761290281426,1488.693614666942,28.8
John Millman,1455.3189240772551,1438.8914852312985,1449.3448996124403,33.5
Facundo Arguello,1479.3298111488673,1475.0467649036939,1479.3276026532758,34.9
Adrian Mannarino,1567.6302887777306,1493.954128141298,1552.7028593814573,34.7
Sam Groth,1465.0092806558387,1470.2212583114845,1473.0564799394854,35.4
Dominic Stricker,1572.8443181692242,1563.2069075661886,1567.1562699837255,21.0
Tomislav Brkic,1496.84902682806,1497.1509012882077,1497.3333013850076,35.5
Gabor Borsos,1498.393502698521,1498.3314856430782,1498.5444392629329,35.5
Rinky Hijikata,1498.8885734133444,1499.1108587306755,1499.1108587306755,22.2
Ricardo Rodriguez,1502.8497765875363,1502.152509549649,1502.2232382831942,33.3
Vladyslav Manafov,1499.539958118347,1499.6319664946775,1499.6319664946775,30.3
Mitchell Krueger,1466.4609231629665,1476.5316058543924,1473.8886085960733,29.6
Fernando Verdasco,1410.7243815006964,1420.289504762521,1410.094035823772,40.4
Ariel Behar,1499.3279448094947,1499.4623558475957,1499.4623558475957,33.2
Mats Moraing,1503.3460317015024,1505.4056277932496,1502.1229435351308,30.9
Naser Al Obaidly,1499.6371990440014,1499.5464988050016,1499.6371990440014,27.9
Gerardo Lopez Villasenor,1470.8459632746726,1476.3831605294467,1476.5462772462752,29.3
Alexios Halebian,1496.4540296287423,1497.1632237029937,1497.1632237029937,29.1
Andis Juska,1499.3309067444245,1499.4647253955397,1499.4647253955397,37.6
Joachim Bjerke,1498.6581628089295,1498.9265302471435,1498.9265302471435,28.3
Igor Sijsling,1457.188991183834,1458.9606653765084,1459.1475115923236,35.7
Julien Benneteau,1493.3017087307485,1487.5293165176447,1491.1022398496907,41.6
Sebastian Dominguez,1498.413886945087,1498.7311095560694,1498.7311095560694,21.2
Frank Dancevic,1485.950068995686,1488.5178110532304,1489.4277675186336,38.8
Marco Cecchinato,1422.1217607668973,1495.5523095432288,1448.7616673055181,30.5
Arthur Rinderknech,1599.6341864200294,1562.9735946608894,1558.7303449869894,27.8
