tourney_name,surface,draw_size,tourney_level,best_of,winner_name,winner_age,loser_name,loser_age,Year
Brisbane,Hard,28,A,3,Jarkko Nieminen,32.4,James Duckworth,21.9,2014
Brisbane,Hard,28,A,3,Marinko Matosevic,28.3,Julien Benneteau,32.0,2014
Brisbane,Hard,28,A,3,Sam Querrey,26.2,Dmitry Tursunov,31.0,2014
Brisbane,Hard,28,A,3,Sam Groth,26.1,Ryan Harrison,21.6,2014
Brisbane,Hard,28,A,3,Nicolas Mahut,31.9,Igor Sijsling,26.3,2014
Brisbane,Hard,28,A,3,Jeremy Chardy,26.8,Adrian Mannarino,25.5,2014
Brisbane,Hard,28,A,3,Feliciano Lopez,32.2,Mikhail Kukushkin,26.0,2014
Brisbane,Hard,28,A,3,Lleyton Hewitt,32.8,Thanasi Kokkinakis,17.7,2014
Brisbane,Hard,28,A,3,Marius Copil,23.2,Yuichi Sugita,25.2,2014
Brisbane,Hard,28,A,3,Grigor Dimitrov,22.6,Robin Haase,26.7,2014
Brisbane,Hard,28,A,3,Marin Cilic,25.2,Denis Istomin,27.3,2014
Brisbane,Hard,28,A,3,Matthew Ebden,26.0,Alex Kuznetsov,26.8,2014
Brisbane,Hard,28,A,3,Roger Federer,32.3,Jarkko Nieminen,32.4,2014
Brisbane,Hard,28,A,3,Marinko Matosevic,28.3,Sam Querrey,26.2,2014
Brisbane,Hard,28,A,3,Sam Groth,26.1,Pierre Hugues Herbert,22.7,2014
Brisbane,Hard,28,A,3,Jeremy Chardy,26.8,Nicolas Mahut,31.9,2014
Brisbane,Hard,28,A,3,Lleyton Hewitt,32.8,Feliciano Lopez,32.2,2014
Brisbane,Hard,28,A,3,Marius Copil,23.2,Gilles Simon,29.0,2014
Brisbane,Hard,28,A,3,Marin Cilic,25.2,Grigor Dimitrov,22.6,2014
Brisbane,Hard,28,A,3,Kei Nishikori,24.0,Matthew Ebden,26.0,2014
Brisbane,Hard,28,A,3,Roger Federer,32.3,Marinko Matosevic,28.3,2014
Brisbane,Hard,28,A,3,Jeremy Chardy,26.8,Sam Groth,26.1,2014
Brisbane,Hard,28,A,3,Lleyton Hewitt,32.8,Marius Copil,23.2,2014
Brisbane,Hard,28,A,3,Kei Nishikori,24.0,Marin Cilic,25.2,2014
Brisbane,Hard,28,A,3,Roger Federer,32.3,Jeremy Chardy,26.8,2014
Brisbane,Hard,28,A,3,Lleyton Hewitt,32.8,Kei Nishikori,24.0,2014
Brisbane,Hard,28,A,3,Lleyton Hewitt,32.8,Roger Federer,32.3,2014
Chennai,Hard,28,A,3,Benjamin Becker,32.5,Julian Reister,27.7,2014
Chennai,Hard,28,A,3,Aljaz Bedene,24.4,Henri Laaksonen,21.7,2014
Chennai,Hard,28,A,3,Alexander Kudryavtsev,28.1,Roberto Bautista Agut,25.7,2014
Chennai,Hard,28,A,3,Yuki Bhambri,21.4,Pablo Carreno Busta,22.4,2014
Chennai,Hard,28,A,3,Yen Hsun Lu,30.3,Tim Smyczek,26.0,2014
Chennai,Hard,28,A,3,Vasek Pospisil,23.5,Kyle Edmund,18.9,2014
Chennai,Hard,28,A,3,Marcel Granollers,27.7,Radu Albot,24.1,2014
Chennai,Hard,28,A,3,Ramkumar Ramanathan,19.1,Somdev Devvarman,28.8,2014
Chennai,Hard,28,A,3,Guillermo Garcia Lopez,30.5,Aleksandr Nedovyesov,26.8,2014
Chennai,Hard,28,A,3,Edouard Roger Vasselin,30.0,Albert Ramos,25.9,2014
Chennai,Hard,28,A,3,Jiri Vesely,20.4,Jeevan Nedunchezhiyan,25.1,2014
Chennai,Hard,28,A,3,Dudi Sela,28.7,Lukas Lacko,26.1,2014
Chennai,Hard,28,A,3,Stan Wawrinka,28.7,Benjamin Becker,32.5,2014
Chennai,Hard,28,A,3,Aljaz Bedene,24.4,Alexander Kudryavtsev,28.1,2014
Chennai,Hard,28,A,3,Yuki Bhambri,21.4,Fabio Fognini,26.6,2014
Chennai,Hard,28,A,3,Vasek Pospisil,23.5,Yen Hsun Lu,30.3,2014
Chennai,Hard,28,A,3,Marcel Granollers,27.7,Ramkumar Ramanathan,19.1,2014
Chennai,Hard,28,A,3,Benoit Paire,24.6,Guillermo Garcia Lopez,30.5,2014
Chennai,Hard,28,A,3,Edouard Roger Vasselin,30.0,Jiri Vesely,20.4,2014
Chennai,Hard,28,A,3,Dudi Sela,28.7,Mikhail Youzhny,31.5,2014
Chennai,Hard,28,A,3,Stan Wawrinka,28.7,Aljaz Bedene,24.4,2014
Chennai,Hard,28,A,3,Vasek Pospisil,23.5,Yuki Bhambri,21.4,2014
Chennai,Hard,28,A,3,Marcel Granollers,27.7,Benoit Paire,24.6,2014
Chennai,Hard,28,A,3,Edouard Roger Vasselin,30.0,Dudi Sela,28.7,2014
Chennai,Hard,28,A,3,Stan Wawrinka,28.7,Vasek Pospisil,23.5,2014
Chennai,Hard,28,A,3,Edouard Roger Vasselin,30.0,Marcel Granollers,27.7,2014
Chennai,Hard,28,A,3,Stan Wawrinka,28.7,Edouard Roger Vasselin,30.0,2014
