,Round_64,Round_32,Round_16,Round_8,Round_4,Round_2,Runner_up,Champion
Rafael Nadal,0.7904,0.6126,0.5196,0.359,0.2348,0.151,0.0704,0.0704
Mackenzie Mcdonald,0.3118,0.0626,0.0272,0.0082,0.0018,0.0,0.0,0.0
Dalibor Svrcina,0.5022,0.1726,0.0274,0.0074,0.0018,0.0002,0.0,0.0
Yoshihito Nishioka,0.4614,0.2988,0.0788,0.0266,0.0068,0.0016,0.0002,0.0002
Karen Khachanov,0.8354,0.6674,0.3812,0.1874,0.0962,0.0452,0.0138,0.0138
Jason Kubler,0.479,0.1232,0.0316,0.008,0.003,0.0006,0.0,0.0
Juncheng Shang,0.4526,0.0822,0.0186,0.0038,0.0008,0.0,0.0,0.0
Frances Tiafoe,0.918,0.775,0.4756,0.2392,0.1222,0.0604,0.0218,0.0218
Hubert Hurkacz,0.8252,0.6452,0.398,0.1724,0.0736,0.0332,0.0076,0.0076
Lorenzo Sonego,0.52,0.154,0.0546,0.0116,0.0028,0.0006,0.0002,0.0002
Taro Daniel,0.4908,0.1118,0.029,0.0048,0.0008,0.0,0.0,0.0
Denis Shapovalov,0.8488,0.698,0.4092,0.1754,0.072,0.0306,0.007,0.007
Sebastian Korda,0.6758,0.4816,0.1838,0.1008,0.041,0.0208,0.0046,0.0046
Yosuke Watanuki,0.3644,0.0956,0.019,0.0048,0.0006,0.0,0.0,0.0
John Millman,0.3346,0.0358,0.0092,0.0016,0.0004,0.0,0.0,0.0
Daniil Medvedev,0.8684,0.77,0.5984,0.4448,0.2666,0.1638,0.0708,0.0708
Stefanos Tsitsipas,0.9476,0.8228,0.634,0.3926,0.2302,0.122,0.0442,0.0442
Rinky Hijikata,0.5352,0.0922,0.032,0.0082,0.0024,0.0006,0.0002,0.0002
Tallon Griekspoor,0.5072,0.1378,0.0242,0.0048,0.0012,0.0002,0.0002,0.0002
Botic Van De Zandschulp,0.495,0.3662,0.1348,0.0544,0.0182,0.0064,0.0012,0.0012
Lloyd Harris,0.3244,0.1714,0.0454,0.0132,0.0034,0.0002,0.0,0.0
Marton Fucsovics,0.561,0.2046,0.0502,0.013,0.0026,0.0006,0.0002,0.0002
Tomas Martin Etcheverry,0.4342,0.055,0.017,0.0016,0.0004,0.0,0.0,0.0
Jannik Sinner,0.85,0.767,0.6068,0.3576,0.2076,0.1086,0.0384,0.0384
Cameron Norrie,0.781,0.6062,0.383,0.167,0.0768,0.0322,0.0064,0.0064
Constant Lestienne,0.5854,0.1818,0.065,0.0144,0.0046,0.0006,0.0,0.0
Christopher Eubanks,0.3544,0.0914,0.0272,0.007,0.0016,0.0,0.0,0.0
Jiri Lehecka,0.2506,0.1132,0.0384,0.0078,0.0008,0.0002,0.0,0.0
Francisco Cerundolo,0.6804,0.2912,0.0782,0.0256,0.0068,0.0006,0.0,0.0
Corentin Moutet,0.6446,0.4292,0.1516,0.0792,0.0314,0.0108,0.0038,0.0038
Alex Molcan,0.5524,0.1152,0.0482,0.018,0.0038,0.001,0.0002,0.0002
Felix Auger Aliassime,0.8836,0.7522,0.6056,0.4574,0.2784,0.1482,0.0634,0.0634
Andrey Rublev,0.6922,0.5442,0.4254,0.2592,0.085,0.0466,0.022,0.022
Emil Ruusuvuori,0.6904,0.211,0.1154,0.0446,0.0072,0.0014,0.0,0.0
Jeremy Chardy,0.458,0.1976,0.0544,0.0188,0.0022,0.0004,0.0,0.0
Daniel Evans,0.7994,0.4764,0.1756,0.0666,0.0114,0.0022,0.0006,0.0006
Denis Kudla,0.2718,0.08,0.0104,0.0018,0.0,0.0,0.0,0.0
Ugo Humbert,0.3246,0.1394,0.027,0.0036,0.0004,0.0,0.0,0.0
Maxime Cressy,0.6446,0.1474,0.0786,0.0256,0.0022,0.0004,0.0,0.0
Holger Rune,0.8114,0.6908,0.5732,0.385,0.1292,0.073,0.0408,0.0408
Pablo Carreno Busta,0.7288,0.5266,0.2748,0.0514,0.022,0.0096,0.0026,0.0026
Benjamin Bonzi,0.5116,0.1694,0.0544,0.005,0.0016,0.0004,0.0002,0.0002
Adrian Mannarino,0.417,0.118,0.0448,0.006,0.001,0.0004,0.0002,0.0002
Alex De Minaur,0.806,0.613,0.4204,0.0944,0.0464,0.0216,0.0096,0.0096
Grigor Dimitrov,0.7208,0.4936,0.0588,0.0286,0.0094,0.0032,0.001,0.001
Laslo Djere,0.58,0.2336,0.017,0.0046,0.0016,0.0,0.0,0.0
Enzo Couacaud,0.5732,0.0268,0.0092,0.001,0.0,0.0,0.0,0.0
Novak Djokovic,0.9652,0.9412,0.8842,0.7826,0.6454,0.5134,0.394,0.394
Taylor Fritz,0.8832,0.7866,0.5704,0.2782,0.1586,0.0452,0.0234,0.0234
Alexei Popyrin,0.5298,0.0898,0.03,0.0052,0.0014,0.0,0.0,0.0
Ben Shelton,0.5326,0.17,0.0438,0.008,0.0024,0.0,0.0,0.0
Nicolas Jarry,0.1798,0.0736,0.014,0.0022,0.0004,0.0,0.0,0.0
Diego Schwartzman,0.5706,0.2768,0.057,0.0162,0.0028,0.0002,0.0,0.0
J J Wolf,0.6698,0.3994,0.1126,0.042,0.0152,0.0028,0.0004,0.0004
Michael Mmoh,0.423,0.0362,0.0102,0.0024,0.0002,0.0,0.0,0.0
Alexander Zverev,0.905,0.8442,0.7206,0.5094,0.361,0.1518,0.087,0.087
Andy Murray,0.2444,0.1576,0.0864,0.0298,0.0072,0.0012,0.0,0.0
Thanasi Kokkinakis,0.5464,0.1258,0.058,0.0138,0.0028,0.0,0.0,0.0
Brandon Holt,0.5018,0.2094,0.0592,0.0146,0.0026,0.0002,0.0,0.0
Roberto Bautista Agut,0.7772,0.4988,0.194,0.0742,0.0186,0.002,0.0004,0.0004
Alejandro Davidovich Fokina,0.4164,0.1536,0.0524,0.0196,0.0038,0.0004,0.0,0.0
Tommy Paul,0.8182,0.5232,0.2666,0.1478,0.0576,0.012,0.0054,0.0054
Jenson Brooksby,0.7178,0.2458,0.1074,0.0476,0.015,0.0012,0.0002,0.0002
Casper Ruud,0.8316,0.6322,0.4202,0.2772,0.138,0.045,0.0224,0.0224
Jack Draper,0.2096,0.101,0.0642,0.0244,0.0078,0.0024,0.0002,0.0002
Brandon Nakashima,0.6882,0.2238,0.1498,0.0722,0.0312,0.0116,0.002,0.002
Jaume Munar,0.4978,0.165,0.024,0.005,0.001,0.0002,0.0,0.0
Mikael Ymer,0.5386,0.3636,0.109,0.0406,0.0128,0.0042,0.0008,0.0008
Bernabe Zapata Miralles,0.1646,0.0772,0.0198,0.0034,0.0012,0.0004,0.0002,0.0002
Sebastian Baez,0.521,0.1322,0.0376,0.0082,0.002,0.0004,0.0,0.0
Oscar Otte,0.5474,0.1142,0.0308,0.006,0.0006,0.0,0.0,0.0
Daniel Altmaier,0.082,0.0286,0.0048,0.0006,0.0,0.0,0.0,0.0
Pedro Martinez,0.1748,0.0724,0.0214,0.0026,0.0002,0.0,0.0,0.0
Nuno Borges,0.48,0.1284,0.0414,0.0096,0.0018,0.0002,0.0,0.0
Ernesto Escobedo,0.5092,0.1186,0.0286,0.0034,0.0,0.0,0.0,0.0
