,Round_64,Round_32,Round_16,Round_8,Round_4,Round_2,Runner_up,Champion
Carlos Alcaraz,0.9278,0.8822,0.731,0.5922,0.3982,0.2338,0.1548,0.1548
Taro Daniel,0.4868,0.0362,0.0086,0.0014,0.0004,0.0,0.0,0.0
Matteo Arnaldi,0.373,0.0894,0.013,0.0034,0.0006,0.0004,0.0002,0.0002
Denis Shapovalov,0.4546,0.2944,0.0754,0.037,0.0116,0.0032,0.0016,0.0016
Lorenzo Musetti,0.5986,0.462,0.2604,0.0784,0.025,0.0072,0.0024,0.0024
Alexander Shevchenko,0.481,0.1226,0.0392,0.0036,0.0002,0.0,0.0,0.0
Lucas Pouille,0.3512,0.068,0.0182,0.002,0.0002,0.0,0.0,0.0
Cameron Norrie,0.9338,0.7326,0.441,0.1486,0.0618,0.0206,0.0094,0.0094
Fabio Fognini,0.1108,0.05,0.015,0.0026,0.0002,0.0,0.0,0.0
Jason Kubler,0.5374,0.1106,0.0402,0.0092,0.0014,0.0,0.0,0.0
Sebastian Ofner,0.4332,0.1278,0.03,0.0074,0.0006,0.0002,0.0,0.0
Sebastian Korda,0.728,0.5278,0.2444,0.1086,0.0426,0.0128,0.005,0.005
Diego Schwartzman,0.5946,0.3476,0.0876,0.0258,0.0062,0.0012,0.0002,0.0002
Nuno Borges,0.4606,0.1922,0.0346,0.0072,0.0016,0.0002,0.0,0.0
Roberto Carballes Baena,0.4818,0.0654,0.028,0.0054,0.001,0.0002,0.0,0.0
Stefanos Tsitsipas,0.9166,0.8194,0.7066,0.4786,0.258,0.133,0.0716,0.0716
Novak Djokovic,0.9138,0.8676,0.7914,0.7036,0.5656,0.3664,0.2486,0.2486
Marton Fucsovics,0.5318,0.0458,0.0232,0.011,0.003,0.0004,0.0,0.0
Luca Van Assche,0.5658,0.2272,0.026,0.0128,0.003,0.001,0.0004,0.0004
Alejandro Davidovich Fokina,0.6514,0.4474,0.0852,0.0468,0.0176,0.0048,0.001,0.001
Roberto Bautista Agut,0.5038,0.2952,0.1268,0.0226,0.0078,0.0016,0.0002,0.0002
Juan Pablo Varillas,0.528,0.2234,0.0846,0.0126,0.003,0.0006,0.0,0.0
Tallon Griekspoor,0.5066,0.1464,0.0632,0.0078,0.003,0.0006,0.0002,0.0002
Hubert Hurkacz,0.6862,0.5318,0.3764,0.0984,0.0504,0.018,0.0062,0.0062
Karen Khachanov,0.8128,0.6744,0.5534,0.3498,0.1298,0.0502,0.0198,0.0198
Radu Albot,0.3614,0.0632,0.0226,0.0038,0.0002,0.0,0.0,0.0
Stan Wawrinka,0.4506,0.1842,0.0444,0.0082,0.0008,0.0,0.0,0.0
Thanasi Kokkinakis,0.4694,0.26,0.0768,0.0246,0.0038,0.0004,0.0,0.0
