,Round_64,Round_32,Round_16,Round_8,Round_4,Round_2,Runner_up,Champion
Carlos Alcaraz,0.9558,0.9164,0.7916,0.639,0.4584,0.2618,0.1754,0.1754
Taro Daniel,0.4766,0.0192,0.0036,0.0002,0.0,0.0,0.0,0.0
Matteo Arnaldi,0.4498,0.0848,0.006,0.002,0.0004,0.0,0.0,0.0
Denis Shapovalov,0.4616,0.3192,0.0606,0.0278,0.0094,0.0022,0.0004,0.0004
Lorenzo Musetti,0.6698,0.528,0.3242,0.088,0.0298,0.0102,0.0044,0.0044
Alexander Shevchenko,0.5548,0.1246,0.032,0.005,0.0008,0.0002,0.0,0.0
Lucas Pouille,0.445,0.0698,0.014,0.0016,0.0,0.0,0.0,0.0
Cameron Norrie,0.9588,0.7692,0.448,0.135,0.0502,0.0122,0.0052,0.0052
Fabio Fognini,0.1256,0.0606,0.0152,0.002,0.0002,0.0,0.0,0.0
Jason Kubler,0.5994,0.1198,0.0434,0.0088,0.0006,0.0004,0.0002,0.0002
Sebastian Ofner,0.4996,0.1608,0.0336,0.0036,0.001,0.0,0.0,0.0
Sebastian Korda,0.772,0.5152,0.2398,0.0892,0.0286,0.0072,0.0034,0.0034
Diego Schwartzman,0.5846,0.3516,0.075,0.021,0.0048,0.001,0.0004,0.0004
Nuno Borges,0.5124,0.1918,0.0254,0.0064,0.0006,0.0,0.0,0.0
Roberto Carballes Baena,0.5636,0.0466,0.0188,0.0032,0.0004,0.0,0.0,0.0
Stefanos Tsitsipas,0.9506,0.8726,0.7766,0.543,0.252,0.1084,0.0614,0.0614
Novak Djokovic,0.9544,0.9192,0.8568,0.7842,0.6502,0.4376,0.3152,0.3152
Marton Fucsovics,0.6088,0.03,0.0138,0.0058,0.0016,0.0,0.0,0.0
Luca Van Assche,0.64,0.2324,0.0158,0.0056,0.001,0.0,0.0,0.0
Alejandro Davidovich Fokina,0.6818,0.4548,0.0682,0.0422,0.0144,0.0026,0.0004,0.0004
Roberto Bautista Agut,0.5818,0.305,0.132,0.0156,0.0048,0.0006,0.0004,0.0004
Juan Pablo Varillas,0.6032,0.29,0.1106,0.0102,0.0016,0.0002,0.0,0.0
Tallon Griekspoor,0.5898,0.1588,0.0694,0.0044,0.0012,0.0,0.0,0.0
Hubert Hurkacz,0.7152,0.5736,0.3988,0.0786,0.0368,0.0096,0.0032,0.0032
Karen Khachanov,0.8704,0.7426,0.6032,0.3754,0.1114,0.0366,0.0134,0.0134
Radu Albot,0.4356,0.0496,0.018,0.0028,0.0006,0.0002,0.0,0.0
Stan Wawrinka,0.5334,0.2248,0.054,0.0116,0.0014,0.0,0.0,0.0
Thanasi Kokkinakis,0.5406,0.3034,0.0714,0.0222,0.0024,0.0004,0.0,0.0
Lorenzo Sonego,0.5196,0.3318,0.0924,0.0308,0.0058,0.0014,0.0,0.0
Ugo Humbert,0.5422,0.226,0.0486,0.0114,0.0016,0.0002,0.0,0.0
Corentin Moutet,0.755,0.2114,0.1406,0.066,0.013,0.0034,0.001,0.001
Andrey Rublev,0.8224,0.6578,0.5486,0.3512,0.1196,0.043,0.0198,0.0198
Holger Rune,0.9236,0.7898,0.621,0.425,0.2386,0.1294,0.0502,0.0502
Gael Monfils,0.5078,0.0786,0.037,0.0108,0.0028,0.0004,0.0,0.0
Genaro Alberto Olivieri,0.5672,0.2288,0.0438,0.0154,0.0032,0.0002,0.0,0.0
Andrea Vavassori,0.3026,0.1188,0.02,0.005,0.0008,0.0002,0.0,0.0
Francisco Cerundolo,0.6308,0.4164,0.1776,0.0546,0.0182,0.0036,0.0012,0.0012
Yannick Hanfmann,0.5816,0.1802,0.0466,0.0074,0.0018,0.0002,0.0,0.0
Arthur Rinderknech,0.5898,0.1454,0.0798,0.0206,0.0058,0.0016,0.0002,0.0002
Taylor Fritz,0.9038,0.7052,0.5294,0.2944,0.1252,0.0508,0.0128,0.0128
Tommy Paul,0.6846,0.517,0.3706,0.1292,0.0528,0.0164,0.0032,0.0032
Nicolas Jarry,0.6298,0.1818,0.0874,0.014,0.0024,0.0004,0.0,0.0
Marcos Giron,0.5902,0.3138,0.1168,0.0238,0.0074,0.0,0.0,0.0
Jiri Lehecka,0.6312,0.2972,0.1252,0.025,0.0054,0.0012,0.0,0.0
Thiago Agustin Tirante,0.3882,0.1976,0.033,0.0144,0.0026,0.0004,0.0,0.0
Zhizhen Zhang,0.6824,0.2438,0.0354,0.0132,0.0034,0.0,0.0,0.0
Giulio Zeppieri,0.4216,0.0402,0.0174,0.0076,0.0024,0.0002,0.0,0.0
Casper Ruud,0.9432,0.8304,0.694,0.5792,0.4096,0.2226,0.0928,0.0928
Jannik Sinner,0.9202,0.8074,0.6846,0.3294,0.2338,0.1418,0.0538,0.0538
Daniel Altmaier,0.4218,0.0416,0.0124,0.0004,0.0,0.0,0.0,0.0
Emil Ruusuvuori,0.7144,0.3756,0.091,0.0204,0.0088,0.0032,0.0002,0.0002
Grigor Dimitrov,0.692,0.4186,0.1138,0.0222,0.0086,0.0012,0.0,0.0
Alexander Zverev,0.9468,0.8276,0.703,0.5012,0.386,0.2394,0.1146,0.1146
Alex Molcan,0.7108,0.1192,0.0524,0.0172,0.0056,0.0022,0.0006,0.0006
Aslan Karatsev,0.5396,0.0896,0.0092,0.0016,0.0008,0.0,0.0,0.0
Frances Tiafoe,0.676,0.5738,0.1712,0.073,0.0374,0.0146,0.0024,0.0024
Borna Coric,0.7846,0.5,0.2456,0.1256,0.0364,0.015,0.002,0.002
Pedro Cachin,0.3898,0.1108,0.0352,0.0126,0.001,0.0004,0.0,0.0
Tomas Martin Etcheverry,0.2526,0.0538,0.0128,0.0032,0.0,0.0,0.0,0.0
Alex De Minaur,0.6954,0.481,0.2872,0.15,0.0456,0.0192,0.0038,0.0038
Yoshihito Nishioka,0.5224,0.3692,0.1332,0.0516,0.009,0.0026,0.0,0.0
Max Purcell,0.5836,0.1956,0.0594,0.0192,0.0022,0.0004,0.0,0.0
Guido Pella,0.647,0.1398,0.045,0.0092,0.0002,0.0,0.0,0.0
Thiago Seyboth Wild,0.2226,0.1446,0.0574,0.0172,0.0022,0.0006,0.0004,0.0004
Flavio Cobolli,0.0442,0.0264,0.0082,0.0022,0.0002,0.0,0.0,0.0
Christopher Oconnell,0.5234,0.038,0.0086,0.0026,0.0002,0.0,0.0,0.0
Daniel Elahi Galan,0.5502,0.1804,0.0308,0.0118,0.0028,0.0006,0.0,0.0
Brandon Nakashima,0.5384,0.4156,0.0906,0.0462,0.0184,0.0048,0.0024,0.0024
Mikael Ymer,0.3302,0.22,0.0944,0.0276,0.0074,0.0008,0.0002,0.0002
Oscar Otte,0.4452,0.1274,0.0336,0.003,0.0004,0.0,0.0,0.0
Jurij Rodionov,0.555,0.1504,0.053,0.008,0.0016,0.0006,0.0,0.0
Benoit Paire,0.0412,0.0106,0.0008,0.0,0.0,0.0,0.0,0.0
Felix Auger Aliassime,0.8744,0.738,0.545,0.27,0.1244,0.0482,0.0196,0.0196
Facundo Diaz Acosta,0.4006,0.0816,0.0252,0.0048,0.0006,0.0,0.0,0.0
Maxime Cressy,0.5004,0.206,0.0628,0.0122,0.0026,0.0002,0.0,0.0
Mackenzie Mcdonald,0.228,0.118,0.035,0.0106,0.0012,0.0002,0.0,0.0
Bernabe Zapata Miralles,0.4154,0.2244,0.0304,0.0062,0.0006,0.0,0.0,0.0
John Isner,0.4876,0.2322,0.0394,0.0124,0.0016,0.0002,0.0,0.0
Eduardo Nava,0.4364,0.0566,0.0256,0.0054,0.0008,0.0002,0.0,0.0
Jiri Vesely,0.0494,0.0242,0.0088,0.0012,0.0,0.0,0.0,0.0
Aleksandar Kovacevic,0.0456,0.026,0.0116,0.0058,0.0014,0.0,0.0,0.0
Hugo Grenier,0.3912,0.0248,0.008,0.0024,0.0004,0.0002,0.0,0.0
Marco Cecchinato,0.36,0.1322,0.009,0.0028,0.0006,0.0,0.0,0.0
Arthur Fils,0.3182,0.1806,0.0168,0.0078,0.0032,0.001,0.0002,0.0002
Yibing Wu,0.4182,0.2414,0.0988,0.0136,0.004,0.0004,0.0,0.0
Juncheng Shang,0.3968,0.1636,0.0542,0.0074,0.0018,0.0008,0.0,0.0
Pedro Martinez,0.4102,0.0996,0.0438,0.0044,0.0014,0.0002,0.0002,0.0002
David Goffin,0.2848,0.168,0.0924,0.0092,0.0026,0.0002,0.0,0.0
Constant Lestienne,0.1296,0.0704,0.0326,0.0096,0.0012,0.0004,0.0,0.0
Patrick Kypson,0.5644,0.1374,0.0698,0.0184,0.0014,0.0,0.0,0.0
Albert Ramos,0.4666,0.211,0.0564,0.016,0.0014,0.0,0.0,0.0
Daniel Evans,0.4594,0.2608,0.0946,0.0272,0.0058,0.0008,0.0002,0.0002
Ben Shelton,0.4804,0.2714,0.0656,0.0246,0.0024,0.0002,0.0,0.0
Adrian Mannarino,0.4578,0.1708,0.0252,0.0068,0.0008,0.0,0.0,0.0
Arthur Cazaux,0.245,0.0404,0.022,0.0052,0.0004,0.0,0.0,0.0
Laslo Djere,0.1776,0.0904,0.057,0.0208,0.0038,0.0006,0.0002,0.0002
Christopher Eubanks,0.0764,0.027,0.0076,0.0024,0.0002,0.0002,0.0,0.0
Sebastian Baez,0.4922,0.1046,0.0512,0.017,0.0038,0.0008,0.0004,0.0004
Giovanni Mpetshi Perricard,0.4328,0.159,0.0352,0.0126,0.0028,0.0004,0.0,0.0
Miomir Kecmanovic,0.6974,0.4934,0.1842,0.094,0.0416,0.013,0.0034,0.0034
Jaume Munar,0.3692,0.2462,0.0682,0.0198,0.0054,0.0012,0.0,0.0
Thiago Monteiro,0.4184,0.1572,0.0326,0.005,0.0012,0.0,0.0,0.0
Richard Gasquet,0.4102,0.1166,0.0544,0.0142,0.0034,0.001,0.0,0.0
Michael Mmoh,0.0962,0.0328,0.0114,0.0018,0.0004,0.0002,0.0,0.0
Dominic Stricker,0.3154,0.2218,0.1382,0.045,0.0134,0.002,0.0,0.0
Hugo Dellien,0.3702,0.0794,0.0262,0.0024,0.0,0.0,0.0,0.0
Hamad Medjedovic,0.4098,0.2224,0.0818,0.0182,0.0032,0.0008,0.0,0.0
