,Round_64,Round_32,Round_16,Round_8,Round_4,Round_2,Runner_up,Champion
Carlos Alcaraz,0.8868,0.7916,0.7138,0.43,0.318,0.2306,0.1136,0.1136
Alexandre Muller,0.4162,0.053,0.0274,0.0044,0.0014,0.0004,0.0,0.0
Jason Kubler,0.5542,0.3534,0.0784,0.0186,0.007,0.002,0.0004,0.0004
Nicolas Jarry,0.513,0.199,0.0266,0.0042,0.0014,0.0002,0.0,0.0
Alexander Zverev,0.8558,0.7466,0.4504,0.253,0.1728,0.113,0.0488,0.0488
Yosuke Watanuki,0.4728,0.0808,0.0162,0.003,0.0008,0.0,0.0,0.0
Matteo Berrettini,0.8294,0.5808,0.3316,0.1824,0.122,0.0834,0.035,0.035
Alex De Minaur,0.824,0.3388,0.1466,0.064,0.0348,0.0156,0.0046,0.0046
Frances Tiafoe,0.7592,0.568,0.3988,0.2302,0.0886,0.049,0.015,0.015
Dominic Stricker,0.7008,0.2478,0.1208,0.0432,0.0106,0.0024,0.0004,0.0004
Ilya Ivashka,0.7148,0.4562,0.2138,0.1012,0.0276,0.008,0.001,0.001
Grigor Dimitrov,0.6282,0.2964,0.1188,0.0508,0.0118,0.004,0.0004,0.0004
Alejandro Davidovich Fokina,0.6188,0.2936,0.1122,0.0438,0.0084,0.003,0.0004,0.0004
Botic Van De Zandschulp,0.719,0.4578,0.1982,0.1024,0.0272,0.0108,0.0016,0.0016
Roberto Carballes Baena,0.4984,0.1038,0.0372,0.0098,0.0012,0.0004,0.0,0.0
Holger Rune,0.8142,0.689,0.5064,0.3362,0.1392,0.0816,0.028,0.028
Daniil Medvedev,0.8216,0.6856,0.5652,0.4,0.2492,0.1156,0.0442,0.0442
Adrian Mannarino,0.5508,0.1314,0.0636,0.0232,0.0066,0.0004,0.0002,0.0002
Marcos Giron,0.6524,0.3442,0.1026,0.0438,0.0138,0.0024,0.0004,0.0004
Marton Fucsovics,0.5566,0.301,0.0906,0.0332,0.012,0.0016,0.0,0.0
Francisco Cerundolo,0.591,0.3514,0.1208,0.0472,0.0148,0.003,0.0002,0.0002
Jiri Lehecka,0.4876,0.2106,0.0574,0.0148,0.004,0.0012,0.0,0.0
Milos Raonic,0.8138,0.4126,0.2884,0.1408,0.0652,0.0218,0.004,0.004
Tommy Paul,0.7854,0.4896,0.3626,0.1886,0.0958,0.0348,0.0086,0.0086
Cameron Norrie,0.7666,0.6242,0.4076,0.2382,0.1302,0.0512,0.0144,0.0144
Christopher Eubanks,0.5066,0.1244,0.0388,0.0122,0.003,0.0004,0.0,0.0
Christopher Oconnell,0.4522,0.117,0.0336,0.0084,0.0022,0.0004,0.0,0.0
Jiri Vesely,0.2476,0.1382,0.0446,0.0132,0.004,0.0004,0.0,0.0
Ben Shelton,0.6094,0.2646,0.0722,0.0216,0.0064,0.0016,0.0002,0.0002
Laslo Djere,0.3984,0.222,0.0684,0.0226,0.0066,0.001,0.0002,0.0002
Andy Murray,0.6024,0.1932,0.1102,0.05,0.021,0.004,0.0018,0.0018
