,Round_64,Round_32,Round_16,Round_8,Round_4,Round_2,Runner_up,Champion
Carlos Alcaraz,0.9618,0.9282,0.8574,0.5286,0.4038,0.3064,0.126,0.126
Alexandre Muller,0.5822,0.0238,0.0104,0.0014,0.0006,0.0,0.0,0.0
Jason Kubler,0.5604,0.294,0.0406,0.008,0.001,0.0,0.0,0.0
Nicolas Jarry,0.6886,0.28,0.0118,0.0008,0.0002,0.0,0.0,0.0
Alexander Zverev,0.952,0.8394,0.554,0.2892,0.1816,0.113,0.0392,0.0392
Yosuke Watanuki,0.6588,0.0382,0.0038,0.0006,0.0,0.0,0.0,0.0
Matteo Berrettini,0.875,0.634,0.3126,0.1318,0.0886,0.046,0.0126,0.0126
Alex De Minaur,0.936,0.3372,0.1052,0.0262,0.014,0.0048,0.001,0.001
Frances Tiafoe,0.8774,0.7516,0.4856,0.2834,0.086,0.0392,0.0054,0.0054
Dominic Stricker,0.844,0.1626,0.079,0.0292,0.006,0.0018,0.0002,0.0002
Ilya Ivashka,0.8616,0.5214,0.2274,0.0684,0.0144,0.0042,0.0006,0.0006
Grigor Dimitrov,0.7864,0.3708,0.1536,0.0544,0.006,0.0018,0.0,0.0
Alejandro Davidovich Fokina,0.6626,0.3588,0.1238,0.0406,0.006,0.0014,0.0,0.0
Botic Van De Zandschulp,0.8598,0.4702,0.15,0.0602,0.0098,0.0022,0.0,0.0
Roberto Carballes Baena,0.6792,0.144,0.045,0.0116,0.0016,0.0,0.0,0.0
Holger Rune,0.92,0.7574,0.6158,0.4168,0.1732,0.1016,0.0264,0.0264
Daniil Medvedev,0.9334,0.7868,0.6966,0.5762,0.4154,0.1946,0.0634,0.0634
Adrian Mannarino,0.7082,0.1544,0.0586,0.0178,0.0038,0.0004,0.0002,0.0002
Marcos Giron,0.816,0.3132,0.0628,0.0204,0.0032,0.0002,0.0,0.0
Marton Fucsovics,0.7262,0.5004,0.1116,0.04,0.0084,0.0008,0.0002,0.0002
Francisco Cerundolo,0.7566,0.358,0.1312,0.0484,0.0162,0.004,0.0,0.0
Jiri Lehecka,0.675,0.4066,0.1466,0.0234,0.0052,0.0002,0.0,0.0
Milos Raonic,0.9364,0.4314,0.2954,0.1064,0.0526,0.0148,0.0022,0.0022
Tommy Paul,0.9076,0.5306,0.355,0.127,0.0502,0.0182,0.004,0.004
Cameron Norrie,0.8952,0.6324,0.3976,0.2184,0.0918,0.0302,0.005,0.005
Christopher Eubanks,0.685,0.2462,0.0976,0.0358,0.0082,0.0004,0.0,0.0
Christopher Oconnell,0.6304,0.226,0.058,0.0106,0.0018,0.0002,0.0,0.0
Jiri Vesely,0.4156,0.1874,0.066,0.0162,0.0038,0.0012,0.0,0.0
Ben Shelton,0.784,0.273,0.0576,0.0132,0.0038,0.0004,0.0,0.0
Laslo Djere,0.4704,0.3218,0.063,0.0202,0.0042,0.0002,0.0,0.0
Andy Murray,0.7712,0.223,0.1296,0.0574,0.0166,0.0054,0.0006,0.0006
Stefanos Tsitsipas,0.7106,0.5662,0.5124,0.358,0.191,0.072,0.019,0.019
Jannik Sinner,0.94,0.8226,0.7638,0.543,0.3952,0.1002,0.0494,0.0494
Diego Schwartzman,0.5366,0.0546,0.0322,0.014,0.0064,0.0004,0.0,0.0
Aleksandar Vukic,0.811,0.361,0.0336,0.012,0.0032,0.0002,0.0,0.0
Quentin Halys,0.421,0.2086,0.014,0.0022,0.0,0.0,0.0,0.0
Daniel Elahi Galan,0.7034,0.5334,0.2446,0.0492,0.016,0.0012,0.0002,0.0002
Oscar Otte,0.772,0.2484,0.0756,0.021,0.0078,0.0016,0.0002,0.0002
Mikael Ymer,0.7212,0.376,0.1706,0.0592,0.0206,0.0008,0.0004,0.0004
Taylor Fritz,0.8346,0.5106,0.3768,0.21,0.1088,0.0238,0.0094,0.0094
Guido Pella,0.2834,0.152,0.0286,0.0076,0.0008,0.0002,0.0,0.0
Harold Mayot,0.619,0.1974,0.0782,0.0194,0.0038,0.0002,0.0,0.0
Corentin Moutet,0.7378,0.287,0.1988,0.0748,0.0278,0.0018,0.0008,0.0008
Roman Safiullin,0.6184,0.3422,0.1402,0.045,0.0108,0.0006,0.0,0.0
Denis Shapovalov,0.8292,0.6514,0.2734,0.1526,0.0778,0.0098,0.0022,0.0022
Gregoire Barrere,0.5928,0.0832,0.017,0.0042,0.0002,0.0,0.0,0.0
Liam Broady,0.6684,0.2432,0.0714,0.0298,0.0066,0.001,0.0002,0.0002
Casper Ruud,0.9362,0.6518,0.546,0.3656,0.1846,0.0356,0.0128,0.0128
Andrey Rublev,0.9336,0.7932,0.6558,0.4258,0.0788,0.0416,0.0148,0.0148
Aslan Karatsev,0.6088,0.0924,0.0242,0.0068,0.0,0.0,0.0,0.0
Tomas Barrios Vera,0.385,0.0862,0.0208,0.0038,0.0002,0.0,0.0,0.0
David Goffin,0.7574,0.5888,0.1378,0.046,0.0034,0.0016,0.0006,0.0006
Alexander Bublik,0.7012,0.3868,0.1598,0.062,0.0072,0.004,0.001,0.001
J J Wolf,0.834,0.3882,0.1186,0.0374,0.005,0.0016,0.0004,0.0004
Maximilian Marterer,0.593,0.1382,0.0308,0.0062,0.0004,0.0004,0.0,0.0
Michael Mmoh,0.2208,0.0744,0.0158,0.0018,0.0,0.0,0.0,0.0
Lorenzo Musetti,0.677,0.4246,0.1886,0.0232,0.0072,0.0026,0.0008,0.0008
Jaume Munar,0.5604,0.2158,0.035,0.002,0.0004,0.0,0.0,0.0
Jan Choinski,0.7662,0.1114,0.0398,0.002,0.0004,0.0002,0.0,0.0
Hubert Hurkacz,0.9164,0.8304,0.5404,0.0642,0.0298,0.0146,0.0046,0.0046
Tomas Martin Etcheverry,0.5452,0.1218,0.0022,0.0008,0.0004,0.0,0.0,0.0
Stan Wawrinka,0.3756,0.2902,0.0218,0.0044,0.001,0.0004,0.0,0.0
Jordan Thompson,0.2196,0.0018,0.001,0.0004,0.0,0.0,0.0,0.0
Novak Djokovic,0.9956,0.8972,0.8604,0.8336,0.73,0.6672,0.556,0.556
Jeremy Chardy,0.0382,0.0194,0.0138,0.0006,0.0002,0.0002,0.0,0.0
Arthur Rinderknech,0.4178,0.0286,0.0158,0.004,0.001,0.0,0.0,0.0
Ugo Humbert,0.4396,0.335,0.0438,0.005,0.0008,0.0,0.0,0.0
Marco Cecchinato,0.3114,0.091,0.0064,0.0002,0.0,0.0,0.0,0.0
Gijs Brouwer,0.048,0.0296,0.0066,0.001,0.0004,0.0002,0.0,0.0
Marc Andrea Huesler,0.3412,0.0928,0.0144,0.0018,0.0006,0.0,0.0,0.0
Lorenzo Sonego,0.125,0.0204,0.0026,0.0006,0.0002,0.0002,0.0,0.0
Kimmer Coppejans,0.064,0.0084,0.0008,0.0002,0.0002,0.0,0.0,0.0
Yibing Wu,0.1226,0.06,0.0228,0.0052,0.001,0.0,0.0,0.0
Alexei Popyrin,0.156,0.0258,0.005,0.0006,0.0,0.0,0.0,0.0
Federico Coria,0.1384,0.0372,0.0082,0.0022,0.0004,0.0,0.0,0.0
Sho Shimabukuro,0.2136,0.0706,0.0184,0.0046,0.0004,0.0002,0.0,0.0
Arthur Fils,0.3374,0.124,0.024,0.0086,0.0006,0.0,0.0,0.0
Zhizhen Zhang,0.1402,0.047,0.0096,0.0028,0.0,0.0,0.0,0.0
Matteo Arnaldi,0.3208,0.0522,0.0138,0.0054,0.0008,0.0002,0.0,0.0
George Loffhagen,0.08,0.0464,0.018,0.006,0.0006,0.0,0.0,0.0
Arthur Fery,0.0666,0.0356,0.0152,0.0034,0.0006,0.0,0.0,0.0
Alexander Shevchenko,0.2918,0.0232,0.0094,0.0036,0.0012,0.0002,0.0,0.0
Hugo Dellien,0.184,0.045,0.0084,0.0016,0.0002,0.0,0.0,0.0
Tallon Griekspoor,0.2738,0.1414,0.0374,0.015,0.0024,0.0002,0.0,0.0
Nuno Borges,0.2434,0.078,0.0222,0.0052,0.0012,0.0002,0.0,0.0
Sebastian Ofner,0.325,0.1574,0.0348,0.0082,0.0024,0.0002,0.0,0.0
Dennis Novak,0.0636,0.009,0.0026,0.0006,0.0,0.0,0.0,0.0
Shintaro Mochizuki,0.0924,0.029,0.0122,0.0028,0.0008,0.0002,0.0,0.0
Tomas Machac,0.1048,0.0576,0.0236,0.005,0.001,0.0,0.0,0.0
Thiago Monteiro,0.315,0.0638,0.018,0.004,0.0008,0.0002,0.0,0.0
Hamad Medjedovic,0.3696,0.0952,0.0274,0.0074,0.0022,0.0006,0.0,0.0
Sebastian Korda,0.5844,0.4914,0.3118,0.1422,0.0732,0.023,0.0036,0.0036
Taro Daniel,0.216,0.0532,0.0048,0.0014,0.0,0.0,0.0,0.0
Maxime Cressy,0.5296,0.352,0.1044,0.06,0.0164,0.0034,0.0004,0.0004
Ryan Peniston,0.2288,0.0522,0.0244,0.0096,0.0026,0.0004,0.0002,0.0002
Dominic Thiem,0.2894,0.1586,0.1038,0.0406,0.0188,0.0048,0.0014,0.0014
Juan Manuel Cerundolo,0.06,0.0304,0.015,0.0044,0.0012,0.0002,0.0002,0.0002
Miomir Kecmanovic,0.4634,0.0924,0.0782,0.0338,0.0166,0.0028,0.001,0.001
Daniel Altmaier,0.189,0.0698,0.0086,0.0012,0.0002,0.0,0.0,0.0
Daniel Evans,0.579,0.3606,0.0546,0.0242,0.0078,0.002,0.0004,0.0004
Yoshihito Nishioka,0.2966,0.153,0.0682,0.0118,0.0046,0.0006,0.0,0.0
Dominik Koepfer,0.228,0.0652,0.0126,0.0022,0.0004,0.0,0.0,0.0
Alex Molcan,0.2788,0.0586,0.0322,0.0096,0.0028,0.0002,0.0,0.0
Yannick Hanfmann,0.1654,0.0548,0.0194,0.0022,0.0006,0.0,0.0,0.0
Borna Coric,0.7166,0.4932,0.2906,0.1662,0.0656,0.009,0.0022,0.0022
Benjamin Bonzi,0.381,0.1574,0.062,0.024,0.0032,0.0002,0.0,0.0
Richard Gasquet,0.2622,0.121,0.0596,0.026,0.0048,0.0002,0.0,0.0
Roberto Bautista Agut,0.3816,0.2498,0.142,0.056,0.0154,0.0012,0.0002,0.0002
Radu Albot,0.1708,0.095,0.0164,0.0064,0.0006,0.0,0.0,0.0
Lloyd Harris,0.4072,0.1704,0.0376,0.011,0.0028,0.0002,0.0,0.0
Constant Lestienne,0.3316,0.0768,0.0292,0.009,0.0026,0.0004,0.0,0.0
Laurent Lokoli,0.0638,0.0282,0.009,0.0024,0.0004,0.0,0.0,0.0
Max Purcell,0.0664,0.0348,0.0154,0.0048,0.0002,0.0,0.0,0.0
Luca Van Assche,0.3912,0.0796,0.0346,0.0094,0.001,0.0004,0.0,0.0
Sebastian Baez,0.615,0.1962,0.0774,0.0238,0.003,0.001,0.0002,0.0002
Fabian Marozsan,0.2426,0.1288,0.034,0.0088,0.0008,0.0,0.0,0.0
Mackenzie Mcdonald,0.2988,0.1754,0.051,0.0206,0.0014,0.0006,0.0,0.0
Enzo Couacaud,0.166,0.0496,0.011,0.0028,0.0,0.0,0.0,0.0
Borna Gojo,0.407,0.1036,0.0418,0.0078,0.0002,0.0,0.0,0.0
Felix Auger Aliassime,0.7792,0.6838,0.5712,0.3322,0.1064,0.065,0.0294,0.0294
Juan Pablo Varillas,0.323,0.1458,0.0548,0.0032,0.0006,0.0002,0.0,0.0
John Isner,0.4396,0.2138,0.1194,0.0104,0.0046,0.0006,0.0002,0.0002
Dusan Lajovic,0.2338,0.0206,0.0062,0.0006,0.0,0.0,0.0,0.0
Albert Ramos,0.0836,0.0376,0.0158,0.0004,0.0,0.0,0.0,0.0
Bernabe Zapata Miralles,0.4548,0.1564,0.0026,0.0006,0.0002,0.0,0.0,0.0
Emil Ruusuvuori,0.6244,0.4316,0.0464,0.0176,0.0056,0.001,0.0002,0.0002
Brandon Nakashima,0.7804,0.0996,0.065,0.0362,0.0118,0.0026,0.0006,0.0006
Pedro Cachin,0.0044,0.0014,0.0006,0.0004,0.0,0.0,0.0,0.0
