,Round_64,Round_32,Round_16,Round_8,Round_4,Round_2,Runner_up,Champion
Carlos Alcaraz,0.9476,0.8786,0.823,0.5304,0.4726,0.2808,0.0898,0.0898
Alexandre Muller,0.5028,0.054,0.0276,0.0038,0.0016,0.0002,0.0,0.0
Jason Kubler,0.596,0.3662,0.0456,0.0076,0.0022,0.0,0.0,0.0
Nicolas Jarry,0.5584,0.2498,0.0314,0.0016,0.0006,0.0,0.0,0.0
Alexander Zverev,0.8932,0.7994,0.5166,0.263,0.2232,0.1186,0.0298,0.0298
Yosuke Watanuki,0.5292,0.0844,0.0168,0.0028,0.0008,0.0,0.0,0.0
Matteo Berrettini,0.9042,0.7262,0.3782,0.1638,0.1368,0.0586,0.0126,0.0126
Alex De Minaur,0.7568,0.2034,0.058,0.014,0.0094,0.0016,0.0,0.0
Frances Tiafoe,0.7002,0.5262,0.3714,0.2436,0.0482,0.0118,0.0008,0.0008
Dominic Stricker,0.6452,0.23,0.1176,0.051,0.007,0.0012,0.0,0.0
Ilya Ivashka,0.6974,0.3748,0.1646,0.0772,0.0084,0.0008,0.0,0.0
Grigor Dimitrov,0.5806,0.3202,0.135,0.068,0.0068,0.0006,0.0,0.0
Alejandro Davidovich Fokina,0.5386,0.2504,0.125,0.0536,0.0044,0.0006,0.0,0.0
Botic Van De Zandschulp,0.6576,0.3994,0.2256,0.1212,0.0184,0.003,0.0,0.0
Roberto Carballes Baena,0.41,0.1162,0.037,0.0112,0.0008,0.0,0.0,0.0
Holger Rune,0.6458,0.4472,0.2786,0.1592,0.0304,0.007,0.0022,0.0022
Daniil Medvedev,0.8954,0.8358,0.7952,0.7308,0.462,0.266,0.0812,0.0812
Adrian Mannarino,0.4516,0.0362,0.0194,0.0088,0.001,0.0,0.0,0.0
Marcos Giron,0.5114,0.2384,0.023,0.0082,0.001,0.0002,0.0002,0.0002
Marton Fucsovics,0.5394,0.3082,0.0382,0.015,0.0024,0.0002,0.0,0.0
Francisco Cerundolo,0.517,0.2838,0.1282,0.0208,0.0032,0.0002,0.0,0.0
Jiri Lehecka,0.4528,0.2024,0.076,0.0122,0.0022,0.0,0.0,0.0
Milos Raonic,0.6568,0.2912,0.1694,0.034,0.0066,0.0008,0.0002,0.0002
Tommy Paul,0.6746,0.449,0.293,0.0626,0.012,0.003,0.0,0.0
Cameron Norrie,0.833,0.7178,0.5606,0.2192,0.09,0.0332,0.0056,0.0056
Christopher Eubanks,0.5484,0.112,0.0476,0.0076,0.0008,0.0002,0.0,0.0
Christopher Oconnell,0.4044,0.1152,0.0214,0.0026,0.0002,0.0,0.0,0.0
Jiri Vesely,0.2488,0.1224,0.024,0.003,0.0004,0.0002,0.0,0.0
Ben Shelton,0.6462,0.327,0.0532,0.0154,0.0028,0.0004,0.0,0.0
Laslo Djere,0.384,0.1834,0.0148,0.0026,0.0006,0.0,0.0,0.0
Andy Murray,0.5158,0.0482,0.0242,0.0052,0.0012,0.0004,0.0,0.0
Stefanos Tsitsipas,0.9028,0.8282,0.7574,0.6152,0.3682,0.197,0.057,0.057
Jannik Sinner,0.8812,0.7648,0.699,0.5388,0.3512,0.07,0.0322,0.0322
Diego Schwartzman,0.5204,0.0986,0.0682,0.0292,0.0096,0.0002,0.0002,0.0002
Aleksandar Vukic,0.6316,0.3218,0.055,0.0166,0.0048,0.0002,0.0,0.0
Quentin Halys,0.3352,0.1556,0.0186,0.0038,0.0,0.0,0.0,0.0
Daniel Elahi Galan,0.579,0.3242,0.1008,0.0232,0.0062,0.0004,0.0002,0.0002
Oscar Otte,0.5632,0.2804,0.0776,0.015,0.0028,0.0002,0.0,0.0
Mikael Ymer,0.478,0.138,0.0826,0.0198,0.0064,0.0006,0.0,0.0
Taylor Fritz,0.8236,0.641,0.5218,0.2496,0.1292,0.0188,0.0058,0.0058
Guido Pella,0.3144,0.1396,0.0436,0.005,0.0008,0.0002,0.0,0.0
Harold Mayot,0.5416,0.249,0.11,0.028,0.0072,0.0006,0.0004,0.0004
Corentin Moutet,0.5222,0.2174,0.117,0.0286,0.0066,0.0004,0.0,0.0
Roman Safiullin,0.333,0.154,0.0772,0.018,0.0036,0.0,0.0,0.0
Denis Shapovalov,0.8042,0.602,0.1946,0.1202,0.041,0.0026,0.0006,0.0006
Gregoire Barrere,0.4708,0.1454,0.0218,0.0066,0.0008,0.0,0.0,0.0
Liam Broady,0.4834,0.079,0.0282,0.0084,0.0008,0.0,0.0,0.0
Casper Ruud,0.8716,0.769,0.651,0.5578,0.3438,0.064,0.0254,0.0254
