Player_Name,Hard_ELO,Clay_ELO,Grass_ELO,Player_age,Games_played
Carlos Palencia,1500.4498542895574,1499.7491191462912,1500.0,44.0,3
Yasitha De Silva,1500.0,1498.8833186111442,1500.0,28.6,3
Danai Udomchoke,1490.510481466781,1497.8074676182339,1495.8487870569534,43.5,117
Franco Ferreiro,1499.524339046377,1499.1701117660955,1500.0,39.8,8
Freddy Murray,1500.0,1505.0,1500.0,21.1,1
Jhonnatan Medina Alvarez,1498.9644647926386,1500.0526398736129,1500.0,44.4,19
Rob Steckley,1499.2237665227592,1499.974552535929,1500.0,45.1,4
Kaipo Marshall,1487.0486100090752,1500.0,1500.0,21.8,5
Felipe Rios,1500.0,1499.327085820778,1500.0,31.9,1
Taylor Dent,1509.1657464806508,1495.3564620747907,1502.8564317020223,42.9,276
Abedallah Shelbayh,1477.2712752722268,1485.950813738575,1460.2024897999188,21.2,14
Coenie Van Wyk,1500.375,1500.0,1500.0,46.8,1
Edan Leshem,1481.6746834133612,1500.3468388639717,1500.0,27.5,14
Juan Carlos Fuentes Vasquez,1500.0,1500.0,1500.0,18.3,1
Mauricio Hadad,1500.0,1500.147052902579,1500.0,52.1,5
Bu Yunchaokete,1515.1836023484302,1492.3132696738564,1500.0,22.7,3
Martijn Van Haasteren,1500.6752315124947,1498.900512366935,1500.0,44.8,7
Peter Nagy,1499.6884785874913,1500.1812667601737,1500.0,34.8,7
Edwin Kempes,1497.8966248940314,1499.977815278874,1498.3279449462757,47.6,26
Alex Lopez Moron,1498.8009742410013,1497.60783529498,1500.0,53.3,10
Nicolas Barrientos,1481.8966999601762,1504.7103051838174,1500.0,37.7,6
Relja Fiser Dulic,1500.0,1499.87488302906,1500.0,48.5,1
Ali Hamadeh,1499.8247292643273,1500.125,1500.0001151209553,50.5,8
Candy Idoko,1499.725,1500.0,1500.0,38.7,1
Magnus Gustafsson,1498.4634596063634,1501.2289843164315,1499.9850270880183,57.3,61
Robert Lindstedt,1499.6442729329597,1500.0,1500.0,47.2,1
Jabor Al Mutawa,1496.6874602514872,1500.0,1500.0,29.6,4
Darwin Blanch,1500.0,1500.0,1500.0,16.5,2
Thiemo De Bakker,1487.5116498667285,1496.9177722558427,1496.8601134571024,36.7,164
Jerry Joseph,1500.0,1499.650414649733,1500.0,43.7,2
Selvam Veerasingam,1499.7243554313748,1500.0,1500.0,59.3,8
Hsien Yin Peng,1499.2351935673134,1500.0,1500.0,34.1,2
Alex Corretja,1504.130874141441,1517.6978858434652,1498.836947153624,49.9,250
Sultan Khalfan,1497.0615122290264,1500.0,1500.0,46.7,6
Jan Frode Andersen,1499.2936747934848,1500.1596277189633,1500.0,51.5,30
Soong Jae Cho,1500.375,1500.0,1500.0,33.1,1
Maximus Jones,1500.0,1500.0,1500.0,19.3,1
Simon Rea,1499.0273036541284,1499.5997986646867,1500.0,41.4,4
Daniel Gimeno Traver,1473.7820376256634,1487.0859586599513,1487.8033781154352,40.7,270
Trevor Spracklin,1499.5479151550182,1500.0,1500.0,46.6,1
Gustavo Heide,1500.0,1500.0,1500.0,21.9,2
Duilio Beretta,1499.999659635259,1499.402450589555,1500.0,31.9,17
Gabor Jaross,1499.85,1500.0,1500.0,45.4,1
Brian Shi,1498.8224233451842,1500.0,1500.0,23.9,1
Timothy Neilly,1499.3718234938667,1499.3505971824081,1500.0,37.5,6
Dusan Lojda,1498.9455105912114,1500.0,1500.0,36.4,1
Orest Tereshchuk,1500.5233288148681,1500.349564215713,1500.0,42.8,12
Seung Bok Baek,1499.6992183428326,1500.0,1500.0,50.1,2
Bruno Agostinelli,1499.3718807916941,1500.003146304673,1500.0,37.3,3
Bertrand Madsen,1500.000340162592,1499.9999999420231,1500.0,51.7,6
Quentin Halys,1450.5008106353282,1462.5014920013823,1531.3357078033048,27.2,81
Leos Friedl,1499.1719309972896,1500.564988477094,1500.0,47.0,7
Rodrigo Arus,1499.8810071296402,1499.7155059081763,1500.0,28.9,3
Pedja Krstin,1498.571796104991,1501.1228276257675,1500.0,29.7,7
Amer Naow,1499.5853151945314,1500.0,1500.0,29.1,1
Andre Agassi,1575.4913263920528,1511.6817719642909,1508.8845410826468,53.8,348
Ben Shelton,1779.4874595042525,1414.8578302922324,1477.7609497376732,21.4,82
Andrey Kumantsov,1498.5971770733508,1500.0,1500.0,38.1,2
Eliot Spizzirri,1500.0,1500.0,1477.671817031306,22.5,1
Ivo Karlovic,1481.0759317178852,1488.2428456660957,1516.2870068687855,44.8,702
Todd Woodbridge,1497.363026274782,1499.8235359496814,1500.8510848657318,52.9,24
Daniel Brands,1487.4631095388127,1489.5881077129968,1496.8522673641526,36.5,153
Sasa Tuksar,1500.0,1497.1590080706444,1500.0,44.0,6
Alessandro Camarco,1500.0,1499.8,1500.0,42.4,1
Juan Albert Viloca Puig,1500.0099342748947,1500.0315744065604,1500.0,51.0,12
Christoffer Konigsfeldt,1499.2260257287849,1500.0,1500.0,34.7,2
Luciano Ramazzini,1499.2129351214223,1500.0,1500.0,34.2,4
Elmar Gerth,1499.5491238676384,1499.7251401641222,1500.0,53.6,5
Marc Kimmich,1497.6265448018949,1500.0,1500.0,40.9,3
Roey Tabet,1500.0,1495.0,1500.0,22.7,1
Franco Squillari,1494.9307968180422,1506.875185937895,1496.659852800228,48.9,200
Juan Enrique Crosa,1499.3757111107961,1499.875,1500.0,40.3,3
Frederik Fetterlein,1500.1,1499.9,1500.0,54.0,2
Iurie Gorban,1500.0,1499.875,1500.0,48.0,1
Daniel Kosakowski,1499.2435775913414,1500.0,1500.0,35.0,3
Hayk Hakobyan,1500.0,1499.8500539086838,1500.0,44.0,1
Radomir Vasek,1500.0,1499.599538952996,1500.0,51.8,1
Thomas Larsen,1500.0,1499.7500985873733,1500.0,49.1,2
Stefano Ianni,1500.0,1499.9982503422723,1500.0,43.4,2
Dragos Dima,1500.7316709592135,1500.0,1500.0,31.7,2
Alexander Ward,1500.0,1499.292123178033,1494.8332971493785,34.1,4
Victor Crivoi,1496.2406250126132,1492.320114001225,1499.3370071958857,43.1,51
Alexander Vasquez,1499.775109769421,1500.0,1500.0,47.5,2
Bjorn Rehnquist,1495.8199210691448,1500.112333858747,1500.0,47.0,14
Eero Vasa,1507.1048342594954,1500.0,1500.0,28.9,3
Travis Rettenmaier,1499.9939435624524,1500.0,1500.006542277265,40.5,4
Roman Andres Burruchaga,1500.0,1500.0,1500.0,22.0,3
Flavio Cobolli,1482.5207782643154,1484.619579540971,1500.0,21.7,44
Maxim Bulat,1499.0487022131506,1500.0,1500.0,26.9,2
Casper Ruud,1574.4331970565536,1834.9075002951795,1479.244630261246,25.1,363
Phillip King,1496.3410550540525,1500.0,1500.0,42.3,13
Mariano Albert Ferrando,1500.0,1499.5568952077865,1500.0,42.0,1
Alexandre Sidorenko,1498.5912539023334,1497.4623528667457,1500.0,36.5,13
Alex Kim,1493.5262204975772,1497.7653305515585,1499.5512244987522,46.1,33
Mikhail Elgin,1497.7104590202998,1500.0,1500.0,46.9,10
Dennis Novikov,1496.2252503086347,1500.0,1498.01163473065,30.6,16
Mili Poljicak,1500.0,1484.7553141370604,1500.0,20.0,1
Fredrik Aarum,1499.825,1499.7001724702693,1500.0,40.9,3
John Doran,1500.35,1499.8246254450703,1500.0,46.1,7
Tim Henman,1532.9968036538833,1508.5286119362408,1517.0739715393424,49.7,407
Giulio Zeppieri,1484.8602215986389,1474.943199176195,1500.0,22.2,18
Demetrios Leontis,1499.675,1500.0,1500.0,45.6,1
Alex Witt,1500.0,1500.0,1499.6,48.2,1
Laurent Bram,1497.3536859770536,1500.0147125487601,1500.0,40.8,14
Mark Lajal,1499.9795606851965,1492.4651237760806,1500.0,21.4,3
Yibing Wu,1596.3100681471337,1476.359757877362,1449.819055629232,25.4,44
Antso Rakotondramanga,1500.0077681772268,1500.3961803926761,1500.0,35.5,7
David Skoch,1499.4392583568792,1498.8633402766693,1500.0,47.5,3
Hyun Woo Nam,1499.0053600921988,1500.0,1500.0,43.7,3
Andres Filimonov,1500.0,1499.4501513683858,1500.0,56.1,4
Andy Roddick,1618.668145165,1513.8951856887718,1542.2251623854052,41.5,792
Daniel Glancy,1498.1291893626392,1500.0,1500.0,37.2,6
Sean Cooper,1500.175,1499.9000287823128,1500.0,44.7,2
Attila Savolt,1493.5172193332432,1499.1349139159377,1498.6945587229156,49.6,76
Oscar Otte,1408.1887419286936,1459.3351770401468,1518.8543076760106,30.7,85
James Auckland,1500.5426775137853,1500.0,1500.0,44.4,3
Mantas Bugailiskis,1500.4494236385847,1500.0,1500.0,27.7,1
Daniele Bracciali,1492.208509604041,1496.9168615005383,1500.454020241692,46.6,73
Dejan Petrovic,1498.3654895679892,1500.0,1498.7787936852528,46.7,8
Louis Vosloo,1500.0,1499.70007548963,1500.0,46.2,2
Mario Alberto Cayo,1499.7997185157005,1500.0,1500.0,39.1,1
Romain Jouan,1498.3949403268923,1499.0197029733197,1500.0,42.1,5
Lleyton Hewitt,1570.3241964825388,1520.6611407013295,1543.3458459832916,42.8,784
Elbert Sie,1498.3918051054347,1500.0,1500.0,42.3,12
Antoine Breikeh,1500.0,1499.7503240566298,1500.0,35.5,1
Thierry Guardiola,1499.6060776661545,1498.0168829849363,1500.0,52.9,8
Artem Sitak,1499.4399400463076,1499.9989915019855,1500.0008241515009,41.9,11
Emil Reinberg,1498.9701321862349,1500.0,1500.0,27.2,1
Cheng Yu Yu,1499.65,1500.0,1500.0,28.8,1
Andrew Ilie,1491.6567979879385,1500.679144237393,1496.7178187646043,50.2,104
Musaad Al Jazzaf,1499.8996821577077,1499.6999568451702,1500.0,39.7,5
Romain Bogaerts,1499.2262997590342,1500.0,1500.0,30.6,1
Philip Wilbert Major,1499.3699329308715,1500.0,1500.0,27.9,2
Karen Khachanov,1716.409703217407,1715.02365512491,1581.4262695503803,27.7,450
Taylor Fritz,1749.1308529958917,1613.6930550596812,1548.3638330572533,26.3,432
Florian Mayer,1482.0136542173527,1492.2627222444094,1509.724592110404,40.7,501
Santiago Fa Rodriguez Taverna,1500.0,1477.751203513385,1500.0,24.8,1
Dias Doskarayev,1500.0494669424754,1500.0,1500.0,39.9,4
Peter Gojowczyk,1439.2050984056837,1437.8336890404614,1491.2175341273019,34.7,175
Mate Delic,1497.899250816689,1496.6329926850274,1500.0,31.4,15
Vasilis Mazarakis,1498.8888181704738,1498.8588926405075,1500.0,45.0,16
Jean Claude Scherrer,1499.439845012912,1500.0,1499.0215405624629,46.1,5
Federico Coria,1358.948062071992,1531.1305553111254,1419.8538928601765,31.9,121
Ben Ellwood,1500.0,1500.0,1499.5499730949346,48.3,1
Delmas Ntcha,1492.4595388127088,1500.0,1500.0,23.7,1
Alexandr Dolgopolov,1519.7735853640957,1505.3604026069236,1502.2587571092313,35.4,423
Romano Tatuhey,1500.5991592018463,1500.0,1500.0,39.1,4
Luke Jensen,1499.6004621049394,1500.0,1500.0,57.6,1
Ben Patael,1499.525,1499.5829483150824,1500.0,26.7,2
Igor Kornienko,1499.6092207340082,1500.0,1500.0,52.3,1
Victor Estrella,1484.4114632210621,1507.721138379202,1489.5095263486298,43.5,159
Yannick Maden,1493.969035754352,1500.0389074209077,1496.9322312632814,35.2,26
Inigo Cervantes Huegun,1493.958025573317,1491.9257235728712,1497.093763823876,35.2,49
Oleg Ogorodov,1499.293783172207,1499.4635834583669,1500.0,51.7,27
Tucker Vorster,1501.0251400310776,1500.0002310579669,1500.0,35.8,7
Wesley Moodie,1495.798416199026,1498.0241378645883,1498.2118942139175,45.0,115
Gonzalo Lama,1479.2536898696862,1470.9728365148258,1500.0,38.2,15
Satoshi Iwabuchi,1496.4819869498551,1500.0,1500.3013593738372,48.9,14
Yordan Kanev,1499.775,1499.550269200801,1500.0,40.1,5
Martins Podzus,1498.5174347738675,1499.803115937659,1500.0,30.5,13
Zeljko Krajan,1496.9511695007266,1495.0086305181583,1499.1229620317847,46.4,33
Jurgen Melzer,1507.8128273557945,1509.0415497271028,1505.0218365685714,43.4,667
Antoine Escoffier,1500.0,1500.0,1500.0,31.9,1
Hao Sheng Koay,1499.7164478445525,1500.0,1500.0,25.5,1
Aziz Ouakaa,1494.9120868657023,1505.0,1500.0,25.2,2
Jean Andersen,1499.1339530733248,1500.0,1500.0,35.7,2
Leo Borg,1451.6113084991516,1498.5394714218264,1500.0,21.4,8
Abdulrahman Alawadhi,1500.0,1499.7169705968793,1500.0,32.0,1
Chris Eaton,1500.0037945149122,1500.0,1500.0155118798264,36.2,4
